question,intent
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី ចំណាយ អស់ ប៉ុន្មាន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី គួរ ស្លៀក ពាក់ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី ត្រូវ ពាក់ ខោ អាវ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី រៀប ចំ សំលៀកបំពាក់ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី រៀប ចំ តុម តែង ខ្លួន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី ផ្ញើ អស់ ម៉ាន រយ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង ក្មេង ស្រី អោយ ប៉ុន្មាន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី ចំណាយ អស់ ប៉ុន្មាន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី គួរ ស្លៀក ពាក់ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី ត្រូវ ពាក់ ខោ អាវ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី រៀប ចំ សំលៀកបំពាក់ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី រៀប ចំ តុម តែង ខ្លួន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី ផ្ញើ អស់ ម៉ាន រយ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង និស្សិត ស្រី អោយ ប៉ុន្មាន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង សិស្ស ស្រី ចំណាយ អស់ ប៉ុន្មាន បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង សិស្ស ស្រី គួរ ស្លៀក ពាក់ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
អត់ ទោស នៅ សាលា/B-ORG CADT/I-ORG នឹង សិស្ស ស្រី ត្រូវ ពាក់ ខោ អាវ បែប ណា ដែរ ទើប សមរម្យ យ៉ាង ណា បាន ល្អ ទៅ ?,AskaboutFemaleDressCode
