Question,Intent
good afternoon Robot,Saywelcome
good afternoon រ៉ូបូត,Saywelcome
good evening Robot,Saywelcome
good evening រ៉ូបូត,Saywelcome
good morning Robot,Saywelcome
good morning រ៉ូបូត,Saywelcome
hello Robot,Saywelcome
hello រ៉ូបូត,Saywelcome
hi Robot,Saywelcome
hi រ៉ូបូត,Saywelcome
Robot good afternoon,Saywelcome
Robot good evening,Saywelcome
Robot good morning,Saywelcome
Robot hello,Saywelcome
Robot hi,Saywelcome
Robot ជំរាបសូរ,Saywelcome
Robot សួស្ដី,Saywelcome
Robot ហាយ,Saywelcome
Robot ហេឡូ,Saywelcome
Robot អរុណសួស្ដី,Saywelcome
ជំរាបសូរRobot,Saywelcome
ជំរាបសូររ៉ូបូត,Saywelcome
រ៉ូបូតgood afternoon,Saywelcome
រ៉ូបូតgood evening,Saywelcome
រ៉ូបូតgood morning,Saywelcome
រ៉ូបូតhello,Saywelcome
រ៉ូបូតhi,Saywelcome
រ៉ូបូតជំរាបសូរ,Saywelcome
រ៉ូបូតសួស្ដី,Saywelcome
រ៉ូបូតហាយ,Saywelcome
រ៉ូបូតហេឡូ,Saywelcome
រ៉ូបូតអរុណសួស្ដី,Saywelcome
សួស្ដីRobot,Saywelcome
សួស្ដីរ៉ូបូត,Saywelcome
ហាយRobot,Saywelcome
ហាយរ៉ូបូត,Saywelcome
ហេឡូRobot,Saywelcome
ហេឡូរ៉ូបូត,Saywelcome
អរុណសួស្ដីRobot,Saywelcome
អរុណសួស្ដីរ៉ូបូត,Saywelcome
