question,intent
មានព័ត៌មានអត់ថាថ្ងៃអាទិត្យក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃអាទិត្យបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃអាទិត្យគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនឹងក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនឹងបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនឹងគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនេះក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនេះបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃនេះគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃស្អែកក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃស្អែកបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃស្អែកគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃខានស្អែកក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃខានស្អែកបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃខានស្អែកគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃច័ន្ទក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃច័ន្ទបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃច័ន្ទគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃអង្គារក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃអង្គារបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃអង្គារគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃពុធក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃពុធបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃពុធគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃព្រហស្បតិ៍ក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃព្រហស្បតិ៍បុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃព្រហស្បតិ៍គេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសុក្រក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសុក្របុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសុក្រគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសៅរិ៍ក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសៅរិ៍បុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
មានព័ត៌មានអត់ថាថ្ងៃសៅរិ៍គេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
សួរមួយមើលថ្ងៃអាទិត្យក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
សួរមួយមើលថ្ងៃអាទិត្យបុគ្កលិកនៅនឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
សួរមួយមើលថ្ងៃអាទិត្យគេធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
សួរមួយមើលថ្ងៃនឹងក្រុមការងារក្នុងសាលានឹងធ្វើការអត់?,AskWhetherPoepleWorkonExactDate
