question,intent
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ចំណត/noun នៅ/adp ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ចំណត/noun នៅ/adp ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ទុក/verb ម៉ូតូ/noun នៅ/verb ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ទុក/verb ម៉ូតូ/noun នៅ/verb ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb ចំណត/noun នៅ/adp ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb ចំណត/noun នៅ/adp ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb កន្លែង/noun ទុក/verb ម៉ូតូ/noun នៅ/verb ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp សាលា/noun CADT/noun មាន/verb កន្លែង/noun ទុក/verb ម៉ូតូ/noun នៅ/verb ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb ចំណត/noun នៅ/verb ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb ចំណត/noun នៅ/verb ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ទី/noun ណា/noun ?/punct,ListParkingSpace
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb កន្លែង/noun ទុក/verb ឡាន/noun នៅ/adp ណា/noun ?/punct,ListParkingSpace
