question,intent
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ក្រោម គេ បង្អស់ មាន ជណ្ដើរ exist ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ក្រោម គេ បង្អស់ មាន ជណ្ដើរ អាសន្ន ជណ្ដើរ គេច គ្រោះ ថ្នាក់ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ក្រោម គេ បង្អស់ មាន ជណ្ដើរ ពេល មាន អគ្គិ ភ័យ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ក្រោម គេ បង្អស់ មាន ជណ្ដើរ អ៊ិចស៊ីស ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ១ មាន ជណ្ដើរ exist ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ១ មាន ជណ្ដើរ អាសន្ន ជណ្ដើរ គេច គ្រោះ ថ្នាក់ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ១ មាន ជណ្ដើរ ពេល មាន អគ្គិ ភ័យ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ១ មាន ជណ្ដើរ អ៊ិចស៊ីស ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ២ មាន ជណ្ដើរ exist ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ២ មាន ជណ្ដើរ អាសន្ន ជណ្ដើរ គេច គ្រោះ ថ្នាក់ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ២ មាន ជណ្ដើរ ពេល មាន អគ្គិ ភ័យ ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ២ មាន ជណ្ដើរ អ៊ិចស៊ីស ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ៣ មាន ជណ្ដើរ exist ដែរ ឬ ទេ ?,IsExistDoorExit
អត់ ទោស នៅ អាគារ/B-BUILD innovation/I-BUILD center/I-BUILD ជាន់ ទី ៣ មាន ជណ្ដើរ អាសន្ន ជណ្ដើរ គេច គ្រោះ ថ្នាក់ ដែរ ឬ ទេ ?,IsExistDoorExit
