question,intent
ណាបន្ទប់/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ណាកន្លែង/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ណាបន្ទប់/noun ប្រជុំ/verb ការណ៍/noun ?/punct,FindMeetingRoom
ណា/noun បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ឯណា/adp បន្ទប់/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ឯ/adp ណាកន្លែង/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ឯណា/adp បន្ទប់/noun ប្រជុំ/verb ការណ៍/noun ?/punct,FindMeetingRoom
ឯណា/adp បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
កន្លែង/noun ណា/noun បន្ទប់/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
កន្លែង/noun ណា/noun កន្លែង/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
កន្លែង/noun ណា/noun បន្ទប់/noun ប្រជុំ/verb ការណ៍/noun ?/punct,FindMeetingRoom
កន្លែង/noun ណា/noun បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ទីណា/noun បន្ទប់/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ទីណា/noun កន្លែង/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ទីណា/noun បន្ទប់/noun ប្រជុំ/verb ការណ៍/noun ?/punct,FindMeetingRoom
ទីណា/noun បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb ?/punct,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/verb មក/noun Robot/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/adp មក/noun រ៉ូបូត/adp,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/verb មក/adp មនុស្ស/noun យន្ត/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp កន្លែង/noun ប្រជុំ/verb មក/noun Robot/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp កន្លែង/noun ប្រជុំ/adp មក/noun រ៉ូបូត/adp,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp កន្លែង/noun ប្រជុំ/verb មក/adp មនុស្ស/noun យន្ត/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/verb ការណ៍/noun មក/noun Robot/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/noun ការ/noun ណ៍/det មក/noun រ៉ូបូត/adp,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ប្រជុំ/verb ការណ៍/noun មក/verb មនុស្សយន្ត/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb មក/adp Robot/noun,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ធ្វើ/adj កិច្ច/noun ប្រជុំ/adp មក/noun រ៉ូបូត/adp,FindMeetingRoom
ប្រាប់/verb ខ្ញុំ/pron ទី/noun តាំង/verb របស់/adp បន្ទប់/noun ធ្វើ/verb កិច្ច/noun ប្រជុំ/verb មក/adp មនុស្ស/noun យន្ត/noun,FindMeetingRoom
