question,intent
តើ នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM គេ កំពុង ជជែក គ្នា អំពី អ្វី ?,FindMeetingRoomAgenda
តើ នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM គេ កំពុង ប្រជុំ រឿង អ្វី ?,FindMeetingRoomAgenda
តើ នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ កំពុង ជជែក គ្នា អំពី អ្វី ?,FindMeetingRoomAgenda
តើ នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ កំពុង ប្រជុំ រឿង អ្វី ?,FindMeetingRoomAgenda
ព្រឹក/B-TIME នេះ/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ព្រឹក/B-TIME នេះ/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ព្រឹក/B-TIME នេះ/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ព្រឹក/B-TIME នេះ/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
រសៀល/B-TIME នេះ/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
រសៀល/B-TIME នេះ/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
រសៀល/B-TIME នេះ/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
រសៀល/B-TIME នេះ/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME ១០/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME ១០/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME ១០/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME ១០/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME បួន/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME បួន/I-TIME គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME បួន/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម៉ោង/B-TIME បួន/I-TIME គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE នេះ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE នេះ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE នេះ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE នេះ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ស្អែក/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ស្អែក/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ស្អែក/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ស្អែក/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE អាទិត្យ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE អាទិត្យ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE អាទិត្យ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE អាទិត្យ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម្លិល/B-DATE មិញ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម្លិល/B-DATE មិញ/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ម្លិល/B-DATE មិញ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ម្លិល/B-DATE មិញ/I-DATE គេ ប្រជុំ រឿង អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ទី/I-DATE ១០/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់/B-ROOM Jupyter/I-ROOM ?,FindMeetingRoomAgenda
ថ្ងៃ/B-DATE ទី/I-DATE ១០/I-DATE គេ ជជែក គ្នា អំពី អ្វី នៅ សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ?,FindMeetingRoomAgenda
