question,intent
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun បង់/verb ប្រាប់/verb ចំនួន/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun ផាក/noun ១/num ដង/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun ទុក/verb ១/num ដង/noun ប៉ុន្មាន/adv ទៅ/adp សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun បង់/verb ប៉ុន្មាន/adv រយ/num សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun ផ្ញើ/verb អស់/noun ម៉ាន/noun រយ/num សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ភ្ញៀវ/noun អោយ/verb ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron បង់/verb ប្រាប់/verb ចំនួន/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron ផាក/noun ១/num ដង/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron ទុក/verb ១/num ដង/noun ប៉ុន្មាន/adv ទៅ/adp សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron បង់/verb ប៉ុន្មាន/adv រយ/num សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron ផ្ញើ/verb អស់/noun ម៉ាន/noun រយ/num សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun គេ/pron អោយ/verb ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ពួក/noun យើង/pron ត្រូវ/verb ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ពួក/noun យើង/pron ត្រូវ/verb បង់/verb ប្រាប់/verb ចំនួន/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ពួក/noun យើង/pron ត្រូវ/verb ផាក/noun ១/num ដង/noun ប៉ុន្មាន/adv សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
អត់/prt ទោស/noun នៅ/adp អាគារ/noun Innovation/noun Center/noun ពួក/noun យើង/pron ត្រូវ/verb ទុក/verb ១/num ដង/noun ប៉ុន្មាន/adv ទៅ/adp សំរាប់/adp ការ/noun ផ្ញើ/verb ឡាន/noun ?/punct,AskAboutCarParkingFee
