question,intent
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ/B-DATE អាទិត្យ/I-DATE ក្រុម ការងារ ក្នុង សាលា នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ/B-DATE អាទិត្យ/I-DATE បុគ្កលិក នៅ នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ/B-DATE អាទិត្យ/I-DATE គេ ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នឹង ក្រុម ការងារ ក្នុង សាលា នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នឹង បុគ្កលិក នៅ នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នឹង គេ ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នេះ ក្រុម ការងារ ក្នុង សាលា នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នេះ បុគ្កលិក នៅ នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ នេះ គេ ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ ស្អែក ក្រុម ការងារ ក្នុង សាលា នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ ស្អែក បុគ្កលិក នៅ នឹង ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
តើ មាន ព័ត៌មាន អត់ ថា ថ្ងៃ ស្អែក គេ ធ្វើ ការ អត់ ?,AskWhetherPoepleWorkonExactDate
