question,intent
តើអ្នកឈ្មោះអ្វី?,AskRobot
តើអ្នកមានឈ្មោះអ្វី?,AskRobot
តើអ្នកមានអាយុប៉ុន្មានហើយ?,AskRobot
តើឯងមានអាយុប៉ុន្មានហើយ?,AskRobot
តើអ្នកមានលក់នៅទីណា?,AskRobot
តើអ្នកមានតម្លៃប៉ុន្មាន?,AskRobot
ហេតុអ្វីបានជាគេបង្កើតអ្នកឡើយ?,AskRobot
មូលហេតុអ្វីបានជាគេបង្កើតអ្នក?,AskRobot
ហេតុអ្វីបានជាគេផលិតអ្នក?,AskRobot
ហេតុអ្វីបានជាគេបង្កើតអ្នក?,AskRobot
តើអ្នកមានសមត្ថភាពជួយអ្វីបានខ្លះ?,AskRobot
តើអ្នកមាននៅជាន់ទីប៉ុន្មានខ្លះ?,AskRobot
តើស្ថាប័នណាជាអ្នកផលិតអ្នក?,AskRobot
តើអ្នកត្រូវបានផលិតដោយស្ថាប័នណា?,AskRobot
តើអ្នកត្រូវបានបង្កើតឡើយក្នុងតម្លៃប៉ុន្មាន?,AskRobot
តើគេបង្កើតអ្នកក្នុងគោលបំណងអ្វី?,AskRobot
តើគេបង្កើតអ្នកក្នុងតម្លៃប៉ុន្មាន?,AskRobot
តើគេបង្កើតអ្នកដើម្បីអ្វី?,AskRobot
តើអ្នកត្រូវបានបង្កើតនៅថ្ងៃណា?,AskRobot
តើអ្នកត្រូវបានបង្កើតឡើយនៅថ្ងៃណា?,AskRobot
តើអ្នកអាចជួយអ្វីបានខ្លះ?,AskRobot
អ្នកនិយាយសួស្តីបន្តិចបានទេ?,AskRobot
អ្នកអាចជួយណែនាំខ្លួចបន្តិចបានទេ?,AskRobot
សូចជួយណែនាំខ្លួចបន្តិចបានទេ?,AskRobot
ហេតុអ្វីបានជាគេបង្កើតអ្នកឡើយ?,AskRobot
ហេតុអ្វីបានជាគេផលិតអ្នកឡើយ?,AskRobot
មូលហេតុអ្វីបានជាគេផលិតអ្នក?,AskRobot
តើអ្នកអាចធ្វើអ្វីបានខ្លះ?,AskRobot
តើអ្នកណាជាអ្នកផលិតអ្នក?,AskRobot
តើអ្នកណាជាអ្នកបង្កើតអ្នក?,AskRobot
តើអ្នកធ្វើការអ្វីបានខ្លះ?,AskRobot
តើអ្នកជារ៉ូបូតប្រភេទណា?,AskRobot
តើអ្នកជារ៉ូបូតអ្វី?,AskRobot
តើអ្នកជាមនុស្សយន្តប្រភេទណា?,AskRobot
តើអ្នកជាមនុស្សយន្តអ្វី?,AskRobot
តើអ្នកមានសមត្ថភាពអ្វីខ្លះ?,AskRobot
តើអ្នកអាចធ្វើអ្វីខ្លះ?,AskRobot
តើអ្នកអាចជួយអ្វីខ្លះ?,AskRobot
តើអ្នកអាចជួយសម្របសម្រួលការងារអ្វីខ្លះ?,AskRobot
តើអ្នកមានអត្តចរិករបៀបណា?,AskRobot
តើអ្នកចូលចិត្តធ្វើអ្វី?,AskRobot
តើអ្នកចូលចិត្តជួយការងារមនុស្សទេ?,AskRobot
តើអ្នកចេះស្រលាញ់ស្រីទេ?,AskRobot
