question,intent
ក្រសួងរៀបចំដែនដីនគរូបនីយកម្មនិងសំណង់ស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងការពារជាតិស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងអប់រំយុវជននិងកីឡាស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងមហាផ្ទៃស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងយុត្តិធម៍ស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងបរិស្ថានស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងឧស្សាហកម្មរ៉ែនិងថាមពលស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងផែនការស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងសុខាភិបាលស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងព័ត៍មានស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងទេសចរណ៏ស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងពាណិជ្ជកម្មស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងកសិកម្មរុក្ខាប្រម៉ាញ់និងនេសាទស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងវប្បធម៍និងវិចិត្រសិល្បស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងសារធារណការនិងដឹកជញ្ជូនស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងអភិវឌ្ឃន៍ជនបទស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
ក្រសួងសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុស្ថិតនៅកនែ្លងណានៃប្រទេសកម្ពុជា?,AskAboutMinistry
