question,intent
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/adj គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt E-Commerce/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt E-Commerce/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt E-Commerce/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt E-Commerce/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt E-Commerce/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt E-Commerce/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt E-Commerce/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/adj សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/adj គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt E-Commerce/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt អ៉ីស៉ី/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt អ៉ីស៉ី/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt អ៉ីស៉ី/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt EC/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt EC/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt EC/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt EC/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt EC/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt EC/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt EC/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt EC/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/adj គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ពាណិជ្ជកម្ម/noun អេឡិចត្រូនិច/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj E-Commerce/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj E-Commerce/noun ជា/verb អ្វី/noun ?/punct,FindECInfo
តើ/prt ប្រាប់/verb បាន/verb ទេ/prt ថា/conj E-Commerce/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindECInfo
