question,intent
នៅបន្ទប់១០១គេកំពុងសិក្សាអ្វី?,FindStudyRoomCurrentSubject
នៅបន្ទប់១០១គេកំពុងរៀនអ្វី?,FindStudyRoomCurrentSubject
នៅបន្ទប់៣០១គេកំពុងសិក្សាអ្វី?,FindStudyRoomCurrentSubject
នៅបន្ទប់៣០១គេកំពុងរៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់១០១គ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់១០១លោកគ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់១០១អ្នកគ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់១០១សាស្រ្តាចារ្យកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់៣០១គ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់៣០១លោកគ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់៣០១អ្នកគ្រូកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
បន្ទប់៣០១សាស្រ្តាចារ្យកំពុងបង្រៀនអ្វី?,FindStudyRoomCurrentSubject
ប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់១០១គេកំពុងសិក្សាអ្វី?,FindStudyRoomCurrentSubject
ប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់១០១គេកំពុងរៀនអ្វី?,FindStudyRoomCurrentSubject
ប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់៣០១គេកំពុងសិក្សាអ្វី?,FindStudyRoomCurrentSubject
ប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់៣០១គេកំពុងរៀនអ្វី?,FindStudyRoomCurrentSubject
ជួយប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់១០១គេកំពុងសិក្សាអ្វី?,FindStudyRoomCurrentSubject
ជួយប្រាប់ខ្ញុំបន្ទិចមកនៅបន្ទប់១០១គេកំពុងរៀនអ្វី?,FindStudyRoomCurrentSubject
