question,intent
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM តើ អាច ជួយ ប្រាប់ ថា នៅ អាគារ ណា បាន មាន បន្ទប់/B-ROOM TSC/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM តើ អាច ជួយ ប្រាប់ បន្តិច ពី ទី តាំង របស់ បន្ទប់ នឹង បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM តើ អាច ជួយ ប្រាប់ ថា ជាន់ ណា បាន មាន បន្ទប់/B-ROOM TSC/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM តើ អាច ជួយ ប្រាប់ ថា ជាន់ ណា បាន មាន បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM តើ អាច ជួយ ប្រាប់ ថា នៅ អាគារ ណា បាន មាន បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM TSC/I-ROOM តើ អាច ជួយ ប្រាប់ ថា នៅ អាគារ ណា បាន មាន បន្ទប់/B-ROOM TSC/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM TSC/I-ROOM តើ អាច ជួយ ប្រាប់ បន្តិច ពី ទី តាំង របស់ បន្ទប់ នឹង បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM TSC/I-ROOM តើ អាច ជួយ ប្រាប់ ថា ជាន់ណា បាន មាន បន្ទប់/B-ROOM TSC/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM TSC/I-ROOM តើ អាច ជួយ ប្រាប់ ថា ជាន់ ណា បាន មាន បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
លី/B-PER ស៊ូវ៉ាន/I-PER កំពុង តែ មាន ផល វិបាក ក្នុង ការ រក បន្ទប់/B-ROOM TSC/I-ROOM តើ អាច ជួយ ប្រាប់ ថា នៅ អាគារ ណា បាន មាន បន្ទប់/B-ROOM ធីអែសសុី/I-ROOM បាន ដែរ រឺ ទេ ?,FindTSC
