question,intent
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun ក្រោយ/adp ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 1/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 2/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 3/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 4/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun វិទ្យាសាស្រ្ដ/noun កំព្យូទ័រ/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun នេះ/det ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Computer/noun Science/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun ក្រោយ/adp ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Computer/noun Science/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 1/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Computer/noun Science/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 2/num ?/punct,AskAboutCS_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Computer/noun Science/noun រៀន/verb មុខវិជ្ជា/adv អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 3/num ?/punct,AskAboutCS_CourseInEachGen
