question,intent
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun ការពារ/verb ជាតិ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun ការពារ/verb ជាតិ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun ការពារ/verb ជាតិ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun ការពារ/verb ជាតិ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun មហា/noun ផ្ទៃ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun មហា/noun ផ្ទៃ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun មហា/noun ផ្ទៃ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun មហា/noun ផ្ទៃ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun យុត្តិធម៍/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun យុត្តិធម៍/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun យុត្តិធម៍/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun យុត្តិធម៍/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun បរិស្ថាន/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun បរិស្ថាន/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ក្រសួង/noun បរិស្ថាន/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ក្រសួង/noun បរិស្ថាន/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun ការពារ/verb ជាតិ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun ការពារ/verb ជាតិ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun ការពារ/verb ជាតិ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun ការពារ/verb ជាតិ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun មហា/noun ផ្ទៃ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun មហា/noun ផ្ទៃ/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun មហា/noun ផ្ទៃ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun មហា/noun ផ្ទៃ/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun យុត្តិធម៍/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun យុត្តិធម៍/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun យុត្តិធម៍/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun យុត្តិធម៍/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun បរិស្ថាន/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun បរិស្ថាន/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun បរិស្ថាន/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ក្រសួង/noun បរិស្ថាន/noun ដែល/noun ឬ/conj អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
ពិត/adj ជា/verb មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun កម្ពុជា/noun,IsMinistryExist
ពិត/adj ជា/verb មាន/verb ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ពិត/adj ជា/verb មាន/verb មែន/adv អត់/prt នៅ/adp ប្រទេស/noun Cambodia/noun,IsMinistryExist
