question,intent
តើ នៅ បន្ទប់ Jupyter គេ កំពុង ជជែក គ្នា អំពី អ្វី ?,FindMeetingRoomAgenda
តើ នៅ បន្ទប់ Jupyter គេ កំពុង ប្រជុំ រឿង អ្វី ?,FindMeetingRoomAgenda
តើ នៅ សាល ប្រជុំ ធំ គេ កំពុង ជជែក គ្នា អំពី អ្វី ?,FindMeetingRoomAgenda
តើ នៅ សាល ប្រជុំ ធំ គេ កំពុង ប្រជុំ រឿង អ្វី ?,FindMeetingRoomAgenda
ព្រឹក នេះ គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
ព្រឹក នេះ គេ ជជែក គ្នា អំពី អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
ព្រឹក នេះ គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
ព្រឹក នេះ គេ ប្រជុំ រឿង អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
រសៀល នេះ គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
រសៀល នេះ គេ ជជែក គ្នា អំពី អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
រសៀល នេះ គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
រសៀល នេះ គេ ប្រជុំ រឿង អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
ម៉ោង ១០ គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
ម៉ោង ១០ គេ ជជែក គ្នា អំពី អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
ម៉ោង ១០ គេ ប្រជុំ រឿង អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
ម៉ោង ១០ គេ ប្រជុំ រឿង អ្វី នៅ សាល ប្រជុំ ធំ ?,FindMeetingRoomAgenda
ម៉ោង បួន គេ ជជែក គ្នា អំពី អ្វី នៅ បន្ទប់ Jupyter ?,FindMeetingRoomAgenda
