question,intent
មាន បន្ទប់ ទឹក ទេ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ ?,DoesToiletExist
មាន បន្ទប់ ទឹក អត់ ?,DoesToiletExist
មាន បង្គន់ ទេ ?,DoesToiletExist
មាន បង្គន់ ឬ ទេ ?,DoesToiletExist
មាន បង្គន់ ឬ អត់ ?,DoesToiletExist
មាន បង្គន់ អត់ ?,DoesToiletExist
មាន បង្គន់ បត់ ជើង ទេ ?,DoesToiletExist
មាន បង្គន់ បត់ ជើង ឬ ទេ ?,DoesToiletExist
មាន បង្គន់ បត់ ជើង ឬ អត់ ?,DoesToiletExist
មាន បង្គន់ បត់ ជើង អត់ ?,DoesToiletExist
មាន បង្គន់ អណាម័យ ទេ ?,DoesToiletExist
មាន បង្គន់ អណាម័យ ឬ ទេ ?,DoesToiletExist
មាន បង្គន់ អណាម័យ ឬ អត់ ?,DoesToiletExist
មាន បង្គន់ អណាម័យ អត់ ?,DoesToiletExist
មាន បង្គន់ នោម ទេ ?,DoesToiletExist
មាន បង្គន់ នោម ឬ ទេ ?,DoesToiletExist
មាន បង្គន់ នោម ឬ អត់ ?,DoesToiletExist
មាន បង្គន់ នោម អត់ ?,DoesToiletExist
មាន កន្លែង បត់ ជើង ទេ ?,DoesToiletExist
មាន កន្លែង បត់ ជើង ឬ ទេ ?,DoesToiletExist
មាន កន្លែង បត់ ជើង ឬ អត់ ?,DoesToiletExist
មាន កន្លែង បត់ ជើង អត់ ?,DoesToiletExist
មាន កន្លែង បន្ទោរ បង់ ទេ ?,DoesToiletExist
មាន កន្លែង បន្ទោរ បង់ ឬ ទេ ?,DoesToiletExist
មាន កន្លែង បន្ទោរ បង់ ឬ អត់ ?,DoesToiletExist
មាន កន្លែង បន្ទោរ បង់ អត់ ?,DoesToiletExist
មាន កន្លែង ជុះ ទេ ?,DoesToiletExist
មាន កន្លែង ជុះ ឬ ទេ ?,DoesToiletExist
មាន កន្លែង ជុះ ឬ អត់ ?,DoesToiletExist
មាន កន្លែង ជុះ អត់ ?,DoesToiletExist
មាន កន្លែង នោម ទេ ?,DoesToiletExist
មាន កន្លែង នោម ឬ ទេ ?,DoesToiletExist
មាន កន្លែង នោម ឬ អត់ ?,DoesToiletExist
មាន កន្លែង នោម អត់ ?,DoesToiletExist
មាន កន្លែង ដោះ ទុក សត្វ ទេ ?,DoesToiletExist
មាន កន្លែង ដោះ ទុក សត្វ ឬ ទេ ?,DoesToiletExist
មាន កន្លែង ដោះ ទុក សត្វ ឬ អត់ ?,DoesToiletExist
មាន កន្លែង ដោះ ទុក សត្វ អត់ ?,DoesToiletExist
មាន កន្លែង ជុះ នោម ទេ ?,DoesToiletExist
មាន កន្លែង ជុះ នោម ឬ ទេ ?,DoesToiletExist
មាន កន្លែង ជុះ នោម ឬ អត់ ?,DoesToiletExist
មាន កន្លែង ជុះ នោម អត់ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ កន្លែង នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ សាលា នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ អាគារ នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR នេះ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR បង្អស់/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ កន្លែង នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ សាលា នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ អាគារ នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR នេះ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR បង្អស់/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ កន្លែង នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ សាលា នឹង ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ អាគារ នេះ ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR នេះ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR លើ/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR ?,DoesToiletExist
មាន បន្ទប់ ទឹក ឬ អត់ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR ?,DoesToiletExist
