question,intent
Research/noun នៅ/adp សាលា/noun មាន/verb អី្វ/noun ខ្លះ/adj ,AskAboutResearch
សាលា/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
សាលា/noun នេះ/det មាន/verb Research/noun ទៅ/verb លើ/adp អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
សាលា/noun នេះ/det មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
នៅ/verb សាលា/noun នេះ/det គេ/pron មាន/verb Research/noun លើ/adp អ្វី/noun ខ្លះ/adj ,AskAboutResearch
សាលា/noun យើង/pron មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ,AskAboutResearch
ចូល/verb ប្រាប់/verb Research/noun នៅ/adp សាលា/noun ,AskAboutResearch
ចូល/verb ប្រាប់/verb Research/noun នៅ/adp សាលា/noun CADT/noun ,AskAboutResearch
ចូល/verb ប្រាប់/verb Research/noun នៅ/adp សាលា/noun យើង/pron ,AskAboutResearch
CADT/noun មាន/verb Research/noun ទៅ/verb លើ/adp អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
នៅ/verb CADT/noun គេ/pron មាន/verb Research/noun លើ/adp អ្វី/noun ខ្លះ/adj ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ,AskAboutResearch
ស្រាវជាវ/verb នៅ/adp សាលា/noun មាន/verb អី្វ/noun ខ្លះ/adj ,AskAboutResearch
សាលា/noun មាន/verb ស្រាវជាវ/verb អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
សាលា/noun នេះ/det មាន/verb ស្រាវជាវ/noun ទៅ/verb លើ/adp អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
សាលា/noun នេះ/det មាន/verb ស្រាវជាវ/noun អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
នៅ/verb សាលា/noun នេះ/det គេ/pron មាន/verb ស្រាវជាវ/verb លើ/adp អ្វី/noun ខ្លះ/adj ,AskAboutResearch
សាលា/noun យើង/pron មាន/verb ស្រាវជាវអ្វី/verb ខ្លះ/adj ,AskAboutResearch
CADT/noun មាន/verb ស្រាវជាវ/verb អ្វី/noun ខ្លះ/adj ,AskAboutResearch
ចូល/verb ប្រាប់/verb ស្រាវជាវ/verb នៅ/adp សាលា/noun ,AskAboutResearch
ចូល/verb ប្រាប់/verb ស្រាវជាវ/verb នៅ/adp សាលា/noun CADT/noun ,AskAboutResearch
ចូល/verb ប្រាប់/verb ស្រាវជាវ/verb នៅ/adp សាលា/noun យើង/pron ,AskAboutResearch
CADT/noun មាន/verb ស្រាវជាវ/verb ទៅ/verb លើ/adp អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
នៅ/verb CADT/noun គេ/pron មាន/verb ស្រាវជាវ/verb លើ/adp អ្វី/noun ខ្លះ/adj ,AskAboutResearch
CADT/noun មាន/verb ស្រាវជាវ/verb អ្វី/noun ខ្លះ/adj ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ?/punct ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj សម្រាប់/adp បុគ្គលិក/noun ?/punct ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj សម្រាប់/adp បុគ្គលិក/noun ថ្មី/adj ?/punct ,AskAboutResearch
CADT/noun មាន/verb Research/noun អ្វី/noun ខ្លះ/adj សម្រាប់/adp អ្នក/noun ទស្សនៈ/noun កិច្ច/noun ?/punct ,AskAboutResearch
