question,intent
តើប្រាប់ទីតាំងរបស់សាលាស៉ីអេឌីធីបន្ដិចមក,AskAboutLocation
តើប្រាប់ទីតាំងរបស់សាលាCADTបន្ដិចមក,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាស៉ីអេឌីធីនៅណា,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាស៉ីអេឌីធីនៅឯណា,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាស៉ីអេឌីធីនៅទីណា,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាCADTនៅណា,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាCADTនៅឯណា,AskAboutLocation
តើខ្ញុំចង់ដឹងថាសាលាCADTនៅទីណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាស៉ីអេឌីធីឋិតនៅណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាស៉ីអេឌីធីមានទីតាំងនៅឯណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាស៉ីអេឌីធីឋិតនៅទីណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាស៉ីអេឌីធីនៅណាវិញ,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាCADTឋិតនៅណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាCADTមានទីតាំងនៅឯណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាCADTឋិតនៅទីណា,AskAboutLocation
តើថូម៉ាសប្រាប់បានអត់ថានៅសាលាCADTនៅណាវិញ,AskAboutLocation
តើថូម៉ាសដឹងទេថានៅសាលាស៉ីអេឌីធីឋិតនៅណា,AskAboutLocation
តើថូម៉ាសដឹងទេថានៅសាលាស៉ីអេឌីធីមានទីតាំងនៅឯណា,AskAboutLocation
តើថូម៉ាសដឹងទេថានៅសាលាស៉ីអេឌីធីឋិតនៅទីណា,AskAboutLocation
តើថូម៉ាសដឹងទេថានៅសាលាស៉ីអេឌីធីនៅណាវិញ,AskAboutLocation
