question,intent
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermក្រោយ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm2?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm3?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm4?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm5?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermនេះ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermក្រោយ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm2?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm3?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm3?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm4?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកComputer Scienceរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermនេះ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermក្រោយ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm1?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm2?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm3?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm4?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកCSរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermនេះ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermក្រោយ?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm1?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm2?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm3?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTerm4?,AskABoutCS_CourseInEachGen
តើសិស្សជំនាន់៨ផ្នែកស៊ីអេសរៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermនេះ?,AskABoutCS_CourseInEachGen
តើសិស្សGen6ផ្នែកវិទ្យាសាស្រ្ដកំព្យូទ័ររៀនមុនខវិជ្ជាអ្វីខ្លះនៅTermក្រោយ?,AskABoutCS_CourseInEachGen
