question,intent
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD ឲ្យ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD ឲ្យ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD សម្រាប់ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD សម្រាប់ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD ឲ្យ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD ឲ្យ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD សម្រាប់ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD សម្រាប់ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន អន្តេរ/B-BUILD វាសិកដ្ឋាន/I-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD ឲ្យ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD ឲ្យ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD សម្រាប់ និស្សិត អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD សម្រាប់ និស្សិត ដែរ ទេ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ អត់ ?,AskAboutDormInfo
តើស៊ីអេឌីធី/B-ORG មាន Dormitory/B-BUILD សម្រាប់ ឲ្យ និស្សិត ស្នាក់ នៅ ដែរ ទេ ?,AskAboutDormInfo
តើ CADT/B-ORG មាន កន្លែង/B-BUILD ស្នាក់/I-BUILD ឲ្យ និស្សិត អត់ ?,AskAboutDormInfo
