question,intent
បន្ទប់ ទឹក នៅ ណា ?,FindToilet
បន្ទប់ ទឹក នៅ ឯ ណា ?,FindToilet
បន្ទប់ ទឹក នៅ កន្លែង ណា ?,FindToilet
បន្ទប់ ទឹក នៅ ទី ណា ?,FindToilet
បង្គន់ នៅ ណា ?,FindToilet
បង្គន់ នៅ ឯ ណា ?,FindToilet
បង្គន់ នៅ កន្លែង ណា ?,FindToilet
បង្គន់ នៅ ទី ណា ?,FindToilet
បង្គន់ បត់ ជើង នៅ ណា ?,FindToilet
បង្គន់ បត់ ជើង នៅ ឯ ណា?,FindToilet
បង្គន់ បត់ ជើង នៅ កន្លែង ណា ?,FindToilet
បង្គន់ បត់ ជើង នៅ ទី ណា ?,FindToilet
បង្គន់ អណាម័យ នៅ ណា ?,FindToilet
បង្គន់ អណាម័យ នៅ ឯ ណា?,FindToilet
បង្គន់ អណាម័យ នៅ កន្លែង ណា ?,FindToilet
បង្គន់ អណាម័យ នៅ ទី ណា ?,FindToilet
បង្គន់ នោម នៅ ណា ?,FindToilet
បង្គន់ នោម នៅ ឯ ណា ?,FindToilet
បង្គន់ នោម នៅ កន្លែង ណា ?,FindToilet
បង្គន់ នោម នៅ ទី ណា ?,FindToilet
កន្លែង បត់ ជើង នៅ ណា ?,FindToilet
កន្លែង បត់ ជើង នៅ ឯ ណា?,FindToilet
កន្លែង បត់ ជើង នៅ កន្លែង ណា ?,FindToilet
កន្លែង បត់ ជើង នៅ ទី ណា ?,FindToilet
កន្លែង បន្ទោរ បង់ នៅ ណា ?,FindToilet
កន្លែង បន្ទោរ បង់ នៅ ឯ ណា ?,FindToilet
កន្លែង បន្ទោរ បង់ នៅ កន្លែង ណា ?,FindToilet
កន្លែង បន្ទោរ បង់ នៅ ទី ណា ?,FindToilet
កន្លែង ជុះ នៅ ណា ?,FindToilet
កន្លែង ជុះ នៅ ឯ ណា ?,FindToilet
កន្លែង ជុះ នៅ កន្លែង ណា ?,FindToilet
កន្លែង ជុះ នៅ ទី ណា ?,FindToilet
កន្លែង នោម នៅ ណា ?,FindToilet
កន្លែង នោម នៅ ឯ ណា ?,FindToilet
កន្លែង នោម នៅ កន្លែង ណា ?,FindToilet
