question,intent
តើនៅបន្ទប់Jupyterគេកំពុងជជែកគ្នាអំពីអ្វី?,FindMeetingRoomAgenda
តើនៅបន្ទប់Jupyterគេកំពុងប្រជុំរឿងអ្វី?,FindMeetingRoomAgenda
តើនៅសាលប្រជុំធំគេកំពុងជជែកគ្នាអំពីអ្វី?,FindMeetingRoomAgenda
តើនៅសាលប្រជុំធំគេកំពុងប្រជុំរឿងអ្វី?,FindMeetingRoomAgenda
ព្រឹកនេះគេជជែកគ្នាអំពីអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
ព្រឹកនេះគេជជែកគ្នាអំពីអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
ព្រឹកនេះគេប្រជុំរឿងអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
ព្រឹកនេះគេប្រជុំរឿងអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
រសៀលនេះគេជជែកគ្នាអំពីអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
រសៀលនេះគេជជែកគ្នាអំពីអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
រសៀលនេះគេប្រជុំរឿងអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
រសៀលនេះគេប្រជុំរឿងអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
ម៉ោង១០គេជជែកគ្នាអំពីអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
ម៉ោង១០គេជជែកគ្នាអំពីអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
ម៉ោង១០គេប្រជុំរឿងអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
ម៉ោង១០គេប្រជុំរឿងអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
ម៉ោងបួនគេជជែកគ្នាអំពីអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
ម៉ោងបួនគេជជែកគ្នាអំពីអ្វីនៅសាលប្រជុំធំ?,FindMeetingRoomAgenda
ម៉ោងបួនគេប្រជុំរឿងអ្វីនៅបន្ទប់Jupyter?,FindMeetingRoomAgenda
