question/noun ,/punct intent/noun
តើ/prt មាន/verb បន្ទប់/noun ធ្វើ/verb ការ/noun ទី/noun នេះ/det ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb បន្ទប់/noun ធ្វើ/verb ការ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb បន្ទប់/noun ធ្វើ/verb ការ/noun ដែរ/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb បន្ទប់/noun ធ្វើ/verb ការ/noun ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb កន្លែង/noun ធ្វើ/verb ការ/noun ទី/noun នេះ/det ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb កន្លែង/noun ធ្វើ/verb ការ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb កន្លែង/noun ធ្វើ/verb ការ/noun ដែរ/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb កន្លែង/noun ធ្វើ/verb ការ/noun ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb ការិយាល័យ/noun ទី/noun នេះ/det ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb ការិយាល័យ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb ការិយាល័យ/noun ដែរ/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb ការិយាល័យ/noun ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb office/noun ទី/noun នេះ/det ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb office/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb office/noun ដែរ/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
តើ/prt មាន/verb office/noun ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Available/noun Working/noun Space/noun
