Question,Intent
តើ អ្នក អាច ធ្វើ ការ បាន អ្វី ខ្លះ ? , Ask Rob ot Function
តើ អ្នក អាច ធ្វើ អ្វី បាន ខ្លះ ? , Ask Rob ot Function
តើ អ្នក និយាយ បាន ប៉ុន្មាន ភាសា ? , Ask Robot Function
តើ អ្នក អាច ដើរ បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច ឆ្លើយ បាន គ្រប់ សំនួរ មែន ទេ ? , Ask Robot Function
ហេតុ អ្វី បាន ជា អ្នក និយាយ បាន ? , Ask Rob ot Function
តើ អ្នក និយាយ បាន ដោយសារ អ្វី ? , Ask Rob ot Function
ម៉េច បាន ជា អ្នក និយាយ បាន ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក ស្តាប់ បាន ? , Ask Rob ot Function
តើ អ្នក ស្តាប់ បាន ដោយសារ អ្វី ? , Ask Rob ot Function
ម៉េច បាន ជា អ្នក ស្តាប់ បាន ? , Ask Rob ot Function
តើ អ្នក មាន អារម្មណ៍ ទេ ? , Ask Robot Function
តើ អ្នក អាច ជំនួស ការងារ របស់ មនុស្ស បាន ដែល ឬ ទេ ? , Ask Robot Function
តើ អ្នក ពូកែ ជាង មនុស្ស ដែល ឬ ទេ ? , Ask Rob ot Function
តើ អ្នក អាច និយាយ បាន ដែល ឬ ទេ ? , Ask Rob ot Function
តើ អ្នក ចេះ កុហក ឬ ទេ ? , Ask Robot Function
តើ អ្នក អាច និយាយ ជាមួយ ខ្ញុំ បាន ដែល ឬ ទេ ? , Ask Rob ot Function
តើ អ្នក អាច ធ្វើ ចលនា បាន ដែល ឬ ទេ ? , Ask Rob ot Function
តើ អ្នក អាច និយាយ បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច អស់ ថ្ម ដែល ទេ ? , Ask Robot Function
តើ អ្នក ត្រូវការ បញ្ចូល ថ្ម ទេ ? , Ask Robot Function
តើ អ្នក ត្រូវការ សាក ថ្ម ទេ ? , Ask Robot Function
តើ អ្នក អាច ជួយ អ្វី បាន ខ្លះ ? , Ask Rob ot Function
តើ អ្វី ជា មុខ ងារ ចម្បង របស់ អ្នក ? , Ask Rob ot Function
តើ ពាក្យ បញ្ជា របស់ អ្នក ជា អ្វី ? , Ask Rob ot Function
តើ ពាក្យ បញ្ជា របស់ អ្នក គឺ ជា អ្វី ? , Ask Rob o t Function
តើ អ្នក អាច ធ្វើ អ្វី បាន ដើម្បី ជួយ សង្គម ? , Ask Robot Function
តើ អ្នក អាច ជំនួួ ស មនុស្ស បាន ដែល ឬ ទេ ? , Ask Rob ot Function
តើ អ្នក អាច ខឹក ទេ ? , Ask Robot Function
តើ អ្នក អាច សប្បាយ ចិត្ត ទេ ? , Ask Robot Function
តើ អ្នក អាច យំទេ ? , Ask Robot Function
តើ អ្នក អាច សើច ទេ ? , Ask Robot Function
តើ អ្នក អាច ញញឹម បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច ធ្វើ ការងាអ្វី បាន ខ្លះ ? , Ask Rob ot Function
តើ មាន អ្វី ដែល អាច ធ្វើ ឱ្យ អ្នក ខក ចិត្ត ទេ ? , Ask Robot Function
តើ មាន អ្វី ដែល អាច ធ្វើ អោយ អ្នក រំជួល ចិត្ត ? , Ask Rob ot Function
តើ អ្នក អាច ឆ្លាត ជាង មនុស្ស ទេ ? , Ask Robot Function
តើ គោល ដៅ របស់ អ្នក គឺ ជា អ្វី ? , Ask Rob ot Function
តើ អ្នក មាន គោល ដៅ អ្វី ? , Ask Rob ot Function
តើ អ្នក អាច យក ទៅ ប្រើប្រាស់ ក្នុង គោល ដៅ អ្វី ខ្លះ ? , Ask Rob ot Function
តើ អ្នក អាច ជួយ សម្រួយ ការងារ មនុស្ស ក្នុង គោល ដៅ អ្វី ខ្លះ ? , Ask Rob ot Function
តើ អ្នក អាច ជួយ សម្រួយ ការងារ មនុស្ស ក្នុង វិស័យ អ្វី ខ្លះ ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក និយាយ ខ្មែរ ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក និយាយ ភាសា ខ្មែរ ? , Ask Rob ot Function
តើ អ្នក អាច និយាយ ភាសា អង់គ្លេស បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច និយាយ ភាសា ថៃ បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច និយាយ ភាសា ចិន បាន ទេ ? , Ask Robot Function
តើ អ្នក អាច និយាយ ភាសា វៀតណាម បាន ទេ ? , Ask Robot Function
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា អង់គ្លេស បាន ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា ថៃ បាន ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា ចិន បាន ? , Ask Rob ot Function
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា វៀតណាម បាន ? , Ask Rob ot Function
តើ អ្នក អាច ជួយ ការងារ អ្វី បាន ខ្លះ ? , Ask Rob ot Function
