question,intent
មានបន្ទប់ទឹកទេ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់?,DoesToiletExist
មានបន្ទប់ទឹកអត់?,DoesToiletExist
មានបង្គន់ទេ?,DoesToiletExist
មានបង្គន់ឬទេ?,DoesToiletExist
មានបង្គន់ឬអត់?,DoesToiletExist
មានបង្គន់អត់?,DoesToiletExist
មានបង្គន់បត់ជើងទេ?,DoesToiletExist
មានបង្គន់បត់ជើងឬទេ?,DoesToiletExist
មានបង្គន់បត់ជើងឬអត់?,DoesToiletExist
មានបង្គន់បត់ជើងអត់?,DoesToiletExist
មានបង្គន់អណាម័យទេ?,DoesToiletExist
មានបង្គន់អណាម័យឬទេ?,DoesToiletExist
មានបង្គន់អណាម័យឬអត់?,DoesToiletExist
មានបង្គន់អណាម័យអត់?,DoesToiletExist
មានបង្គន់នោមទេ?,DoesToiletExist
មានបង្គន់នោមឬទេ?,DoesToiletExist
មានបង្គន់នោមឬអត់?,DoesToiletExist
មានបង្គន់នោមអត់?,DoesToiletExist
មានកន្លែងបត់ជើងទេ?,DoesToiletExist
មានកន្លែងបត់ជើងឬទេ?,DoesToiletExist
មានកន្លែងបត់ជើងឬអត់?,DoesToiletExist
មានកន្លែងបត់ជើងអត់?,DoesToiletExist
មានកន្លែងបន្ទោរបង់ទេ?,DoesToiletExist
មានកន្លែងបន្ទោរបង់ឬទេ?,DoesToiletExist
មានកន្លែងបន្ទោរបង់ឬអត់?,DoesToiletExist
មានកន្លែងបន្ទោរបង់អត់?,DoesToiletExist
មានកន្លែងជុះទេ?,DoesToiletExist
មានកន្លែងជុះឬទេ?,DoesToiletExist
មានកន្លែងជុះឬអត់?,DoesToiletExist
មានកន្លែងជុះអត់?,DoesToiletExist
មានកន្លែងនោមទេ?,DoesToiletExist
មានកន្លែងនោមឬទេ?,DoesToiletExist
មានកន្លែងនោមឬអត់?,DoesToiletExist
មានកន្លែងនោមអត់?,DoesToiletExist
មានកន្លែងដោះទុកសត្វទេ?,DoesToiletExist
មានកន្លែងដោះទុកសត្វឬទេ?,DoesToiletExist
មានកន្លែងដោះទុកសត្វឬអត់?,DoesToiletExist
មានកន្លែងដោះទុកសត្វអត់?,DoesToiletExist
មានកន្លែងជុះនោមទេ?,DoesToiletExist
មានកន្លែងជុះនោមឬទេ?,DoesToiletExist
មានកន្លែងជុះនោមឬអត់?,DoesToiletExist
មានកន្លែងជុះនោមអត់?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅនឹង?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅកន្លែងនេះ?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅសាលានឹង?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅអាគារនេះ?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់នេះ?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់លើ?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់ក្រោម?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់ទី១?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់ទី២?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់ផ្ទាល់ដី?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់លើគេ?,DoesToiletExist
មានបន្ទប់ទឹកទេនៅជាន់លើគេបង្អស់?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅនឹង?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅកន្លែងនេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅសាលានឹង?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅអាគារនេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់នេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់លើ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់ក្រោម?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់ទី១?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់ទី២?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់ផ្ទាល់ដី?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់លើគេ?,DoesToiletExist
មានបន្ទប់ទឹកឬទេនៅជាន់លើគេបង្អស់?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅនឹង?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅកន្លែងនេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅសាលានឹង?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅអាគារនេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់នេះ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់លើ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់ក្រោម?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់ទី១?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់ទី២?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់ផ្ទាល់ដី?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់លើគេ?,DoesToiletExist
មានបន្ទប់ទឹកឬអត់នៅជាន់លើគេបង្អស់?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅនឹង?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅកន្លែងនេះ?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅសាលានឹង?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅអាគារនេះ?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់នេះ?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់លើ?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់ក្រោម?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់ទី១?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់ទី២?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់ផ្ទាល់ដី?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់លើគេ?,DoesToiletExist
មានបន្ទប់ទឹកអត់នៅជាន់លើគេបង្អស់?,DoesToiletExist
មានបង្គន់ទេនៅនឹង?,DoesToiletExist
មានបង្គន់ទេនៅកន្លែងនេះ?,DoesToiletExist
មានបង្គន់ទេនៅសាលានឹង?,DoesToiletExist
មានបង្គន់ទេនៅអាគារនេះ?,DoesToiletExist
មានបង្គន់ទេនៅជាន់នេះ?,DoesToiletExist
មានបង្គន់ទេនៅជាន់លើ?,DoesToiletExist
មានបង្គន់ទេនៅជាន់ក្រោម?,DoesToiletExist
មានបង្គន់ទេនៅជាន់ទី១?,DoesToiletExist
មានបង្គន់ទេនៅជាន់ទី២?,DoesToiletExist
មានបង្គន់ទេនៅជាន់ផ្ទាល់ដី?,DoesToiletExist
មានបង្គន់ទេនៅជាន់លើគេ?,DoesToiletExist
មានបង្គន់ទេនៅជាន់លើគេបង្អស់?,DoesToiletExist
មានបង្គន់ឬទេនៅនឹង?,DoesToiletExist
មានបង្គន់ឬទេនៅកន្លែងនេះ?,DoesToiletExist
មានបង្គន់ឬទេនៅសាលានឹង?,DoesToiletExist
