question,intent
Robotឯងមិនបានជួយខ្ញុំផង,Dissatisfied
រ៉ូបូតឯងមិនបានជួយខ្ញុំផង,Dissatisfied
មនុស្សយន្តឯងមិនបានជួយខ្ញុំផង,Dissatisfied
Robotអត់ប្រយោជន៍,Dissatisfied
Robotអត់បានការម៉ែន,Dissatisfied
Robotមិនដឹងស្អីទេ,Dissatisfied
Robotអត់ចេះស្អីផងនឹង,Dissatisfied
Robotមិនបានការអ្វីសោះ,Dissatisfied
រ៉ូបូតអត់ប្រយោជន៍,Dissatisfied
រ៉ូបូតអត់បានការម៉ែន,Dissatisfied
រ៉ូបូតមិនដឹងស្អីទេ,Dissatisfied
រ៉ូបូតអត់ចេះស្អីផងនឹង,Dissatisfied
រ៉ូបូតមិនបានការអ្វីសោះ,Dissatisfied
មនុស្សយន្តអត់ប្រយោជន៍,Dissatisfied
មនុស្សយន្តអត់បានការម៉ែន,Dissatisfied
មនុស្សយន្តមិនដឹងស្អីទេ,Dissatisfied
មនុស្សយន្តអត់ចេះស្អីផងនឹង,Dissatisfied
មនុស្សយន្តមិនបានការអ្វីសោះ,Dissatisfied
ឆ្លើយខុសសំណួរ,Dissatisfied
ឆ្លើយខុសទំនង,Dissatisfied
មិនបានឆ្លើយសំណួរផង,Dissatisfied
ឆ្លើយមិនត្រូវសំណួរផង,Dissatisfied
សួរគោឆ្លើយក្របី,Dissatisfied
សួរAឆ្លើយB,Dissatisfied
Robotឯងឆ្លើយខុសសំណួរ,Dissatisfied
Robotឯងឆ្លើយខុសទំនង,Dissatisfied
Robotឯងមិនបានឆ្លើយសំណួរផង,Dissatisfied
Robotឯងឆ្លើយមិនត្រូវសំណួរផង,Dissatisfied
Robotឯងសួរគោឆ្លើយក្របី,Dissatisfied
RobotឯងសួរAឆ្លើយB,Dissatisfied
រ៉ូបូតឯងឆ្លើយខុសសំណួរ,Dissatisfied
រ៉ូបូតឯងឆ្លើយខុសទំនង,Dissatisfied
រ៉ូបូតឯងមិនបានឆ្លើយសំណួរផង,Dissatisfied
រ៉ូបូតឯងឆ្លើយមិនត្រូវសំណួរផង,Dissatisfied
រ៉ូបូតឯងសួរគោឆ្លើយក្របី,Dissatisfied
រ៉ូបូតឯងសួរAឆ្លើយB,Dissatisfied
មនុស្សយន្តឯងឆ្លើយខុសសំណួរ,Dissatisfied
មនុស្សយន្តឯងឆ្លើយខុសទំនង,Dissatisfied
មនុស្សយន្តឯងមិនបានឆ្លើយសំណួរផង,Dissatisfied
មនុស្សយន្តឯងឆ្លើយមិនត្រូវសំណួរផង,Dissatisfied
មនុស្សយន្តឯងសួរគោឆ្លើយក្របី,Dissatisfied
មនុស្សយន្តឯងសួរAឆ្លើយB,Dissatisfied
អុញ,Dissatisfied
ទៅចេញចឹងទៅ,Dissatisfied
ចេះតែចេញហើយ,Dissatisfied
ទៅសួរមនុស្សវិញ,Dissatisfied
សួរមនុស្សវិញគ្រាន់ជាង,Dissatisfied
ស្មានតែពូកែ,Dissatisfied
ស្មានតែអស្ចារ្យ,Dissatisfied
