question,intent
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ការពារ/verb ជាតិ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun អប់រំ/verb យុវជន/noun និង/conj កីឡា/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun មហា/noun ផ្ទៃ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun យុត្តិធម៍/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun បរិស្ថាន/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ឧស្សាហកម្ម/noun រ៉ែ/noun និង/conj ថាមពល/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ផែនការ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun សុខា/noun ភិបាល/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ព័ត៍/noun មាន/verb ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ទេសចរ/noun ណ៏/prt ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun ពាណិជ្ជ/noun កម្ម/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun កសិកម្ម/noun រុក្ខា/noun ប្រម៉ាញ់/verb និង/conj នេសាទ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun វប្បធម៍/noun និង/conj វិចិត្រ/adj សិល្ប/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun សារធារណការ/noun និង/conj ដឹក/verb ជញ្ជូន/verb ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun អភិវឌ្ឃន៍/noun ជន/noun បទ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun សេដ្ឋ/adj កិច្ច/noun និង/conj ហិរញ្ញ/noun វត្ថុ/noun ស្ថិត/verb នៅ/adp កនែ្លង/noun ណា/noun នៃ/adp ប្រទេស/noun កម្ពុជា/noun ?/punct,AskAboutMinistry
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ចែក/verb រំលែក/verb ព័ត៌មាន/noun ដូច/verb ម្ដេច/adv ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun ចែក/verb រំលែក/verb ព័ត៌មាន/noun អី្វ/noun ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun អាច/verb ផ្ដល់/verb ព័ត៌មាន/noun ដូច/verb ម្ដេច/adv ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
ក្រសួង/noun រៀប/verb ចំ/verb ដែន/noun ដីនគរូបនីយកម្ម/noun និង/conj សំណង់/noun អាច/verb ផ្ដល់/verb ព័ត៌មាន/noun អី្វ/noun ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
ក្រសួង/noun ការពារ/verb ជាតិ/noun ចែក/verb រំលែក/verb ព័ត៌មាន/noun ដូច/verb ម្ដេច/adv ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
ក្រសួង/noun ការពារ/verb ជាតិ/noun ចែក/verb រំលែក/verb ព័ត៌មាន/noun អី្វ/noun ខ្លះ/adj ដល់/adp យើង/pron ?/punct,AskAboutMinistry
