question,intent
សូម ធ្វើ ការ វាយ តម្លៃ ពី ខ្ញុំ ,
សូម ធ្វើ ការ វា តម្លៃ ពី កម្ម វិធី កូដសុី ,
តើ អ្នក សប្បាយ ចិត្ត និង សេវា កម្ម របស់ ខ្ញុំ ដែល ឬ ទេ ? ,
តើ អ្នក ពេញ ចិត្ត និង សេវា កម្ម របស់ ខ្ញុំ ដែល ឬ ទេ ? ,
តើ អ្នក ពេញ ចិត្ត ខ្ញុំ ដែល ឬ ទេ ? ,
តើ អ្នក សប្បាយ ចិត្ត និង ខ្ញុំ ឬ ទេ ? ,
តើ អ្នក ចូល ចិត្ត ខ្ញុំ ដែល ឬ ទេ ? ,
តើ ខ្ញុំ មាន ការ ខ្វះ ខាត អ្វី ដែល ឬ ទេ ? ,
តើ ពួក យើង គួរ តែ បន្ថែម នូវ សេវា កម្ម អ្វី បន្ថែម ទៀត ? ,
តើ ខ្ញុំ បាន ធ្វើ អ្វី អោយ អ្នក មិន ពេញ ចិត្ត ដែល ឬ ទេ ? ,
ហេតុ អ្វី បាន ជា អ្នក មិន ពេញ ចិត្ត ? ,
ហេតុ អ្វី បាន ជា អ្នក មិន ចូល ចិត្ត ខ្ញុំ ? ,
ហេតុ អ្វី បាន ជា អ្នក មិន សប្បាយ ចិត្ត និង ខ្ញុំ ? ,
តើ អ្នក ធ្លាប់ ជួប បញ្ហា ទាំង អស់ នេះ ដែរ ឬ ទេ ? ,
តើ បញ្ហា នេះ បង្ក បញ្ហា ដល់ អ្នក យូរ ប៉ុណ្ណា ហើយ ? ,
តើ អ្នក អាច ពណ៌នា ថា តើ បញ្ហា នេះ កើល ឡើយ ដូច ម្តេច ? ,
តើ អ្នក អាច ផ្តល់ ព័ត៌មាន លម្អិត បន្តិច ទៀត អំពី វា បាន ទេ ? ,
តើ អ្នក ត្រូវការ ដំណោះ ស្រាយ ជា បន្ទាន់ ប៉ុណ្ណា ? ,
តើ បញ្ហា នេះ បាន ប៉ះ ពាល់ ដល់ អ្នក យ៉ាង ណា ? ,
តើ បញ្ហា នេះ បាន ប៉ះ ពាល់ ដល់ អាជីវកម្ម របស់ អ្នក យ៉ាង ណា ? ,
តើ អ្នក បាន ធ្វើ ពី អ្វី ដែល អ្នក បាន ធ្វើ នៅ ពេល ដែល បញ្ហា បាន ចាប់ ផ្តើម ឬ ទេ ? ,
តើ អ្នក បាន ព្យាយាម ដោះ ស្រាយ បញ្ហា ដោយ ខ្លួន ឯង ទេ ? ,
តើ មាន អ្វី កើត ឡើង បន្ទាប់ ពី អ្នក បាន សាក ល្បង វា ? ,
តើ អ្នក អាច ផ្តល់ ឧទាហរណ៍ ដល់ ខ្ញុំ បាន ទេ ? ,
តើ អ្វី ជា មូល ហេតុ ចម្បង របស់ អ្នក សម្រាប់ ការ ទាក់ ទង មក ខ្ញុំ នៅ ថ្ងៃ នេះ ? ,
តើ បញ្ហា នេះ បាន ប៉ះ ពាល់ អ្នក យ៉ាង ណា ? ,
តើ បញ្ហា នេះ ធ្វើ ឱ្យ អ្នក មាន បញ្ហា ផ្សេង ទៀត ឬ ទេ ? ,
តើ អ្នក ចង់ ឱ្យ ខ្ញុំ ពិភាក្សា រឿង នេះ ជាមួយ អ្នក គ្រប់ គ្រង របស់ ខ្ញុំ ហើយ ទាក់ ទង ទៅ អ្នក វិញ ឬ ទេ ? ,
តើ មាន អ្វី ដែល ខ្ញុំ បាន មិន ទាន់ ទទួល បាន ឬ ទេ ? ,
តើ មាន អ្វី ផ្សេង ទៀត ដែល ខ្ញុំ អាច ជួយ អ្នក បាន ? ,
តើ មាន រឿង អ្វី កើត ឡើយ ? ,
តើ អ្នក ចង់ អោយ យើង ធ្វើ អ្វី ដែល ? ,
ហេតុ អ្វី បាន ជា មាន រឿង នេះ កើត ឡើយ ? ,
តើ អ្នក បាន ឃើញ ពី បញ្ហា ឬ ទេ ? ,
តើ កែវមនី មាន ការ មិន សប្បាយ ចិត្ត ដោយសារ តែ មិន បាន ឈ្នះ នៅ ក្នុង កម្ម វិធី ខ្ញុំ ខ្លាំង មែន ទេ ? ,AskAboutDissatisfaction
តើ កែវមនី មាន ការ មិន សប្បាយ ចិត្ត ដោយសារ តែ មិន បាន ឈ្នះ នៅ ក្នុង កម្ម វិធី ខ្ញុំ ខ្លាំង ពិត ទេ ? ,AskAboutDissatisfaction
