question,intent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ IDT មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ IDT យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា CADT មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា CADT យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ សាលា សុីអេឌីធី មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ សាលា សុីអេឌីធី យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ សាលា មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ សាលា យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ Innovation Center មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ Innovation Center យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ អុីនូវេសិន សែនធឺរ មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ អុីនូវេសិន សែនធឺរ យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ អុីនូវេសិន សែនធឺរ មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ អុីនូវេសិន សែនធឺរ យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ អាយឌីធី មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ អាយឌីធី យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង សាវ៉ន ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ អាយឌីធី មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
