question,intent
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដែល ដឹង ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដែល ដឹង ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដែល ដឹង ថា មាន student ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដឹង ទេ ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដឹង ទេ ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG សុខលាភ/B-PER ដឹង ទេ ថា មាន student ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដែល ដឹង ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដែល ដឹង ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដែល ដឹង ថា មាន student ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដឹង ទេ ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដឹង ទេ ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG Darot/B-PER ដឹង ទេ ថា មាន student ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG ដារូ៉ត/B-PER ដែល ដឹង ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG ដារូ៉ត/B-PER ដែល ដឹង ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG ដារូ៉ត/B-PER ដែល ដឹង ថា មាន student ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG ដារូ៉ត/B-PER ដឹង ទេ ថា មាន និស្សិត ប៉ុន្មាន ?,FindTotalStudents
តើ វិទ្យាល័យ/B-ORG សុីអេឌុីធី/I-ORG ដារូ៉ត/B-PER ដឹង ទេ ថា មាន សិស្ស សរុប ប៉ុន្មាន ?,FindTotalStudents
