question,intent
អគារ/noun នៅ/adp Inovation/noun Center/noun បង្កើត/verb ឡើង/verb សម្រាប់/adp ធ្វើ/verb អ្វី/noun ខ្លះ/adj ?/punct,AskBuildingInformationInCADT
អគារ/noun ខេត/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp CADT/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp CADT/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp សុីអេ/noun ដីធី/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp សុីអេ/noun ដីធី/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp NIPTICT/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp ណិពទិច/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun CADT/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun ខេត/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp CADT/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp CADT/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp សុីអេ/noun ដីធី/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp សុីអេ/noun ដីធី/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/verb ឯ/adp NIPTICT/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun នៅ/adp ណិពទិច/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
អគារ/noun វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb សរុប/verb ប៉ុន្មាន/adv ?/punct,AskBuildingInformationInCADT
