question,intent
តើ/prt ភ្នំ/noun ពេញ/adj មាន/verb ស្រុក/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ភ្នំ/noun ពេញ/adj មាន/verb ស្រុក/noun ម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ភ្នំ/noun ពេញ/adj មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ភ្នំ/noun ពេញ/adj មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ភ្នំ/noun ពេញ/adj មាន/verb ខណ្ឌម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ស្រុក/noun ម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ត្បូង/noun ឃ្មុំ/noun មាន/verb ខណ្ឌម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ស្រុក/noun ម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ប៉ៃលិន/noun មាន/verb ខណ្ឌម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt កែប/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt កែប/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt កែប/noun មាន/verb ស្រុក/noun ម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt កែប/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt កែប/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt កែបមាន/noun ខណ្ឌម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ស្រុក/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ស្រុក/noun ម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ខណ្ឌ/noun ប៉ុន្មាន/adv អ្វី/noun ខ្លះ/adj ?/punct,AskAboutDistrictInProvince
តើ/prt ឧត្តរ/noun មាន/verb ជ័យ/noun មាន/verb ខណ្ឌម៉ាន/noun ?/punct,AskAboutDistrictInProvince
តើតាកែវ/prt មាន/verb ស្រុក/noun ប៉ុន្មាន/adv ?/punct,AskAboutDistrictInProvince
