question,intent
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun អ្នក/noun ស្រាវជ្រាវ/verb អាយអូធី/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun អនាម័យ/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun សន្ដិសុខ/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun រដ្ឋ/noun បាល/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun អេតមីន/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun ឌីសាញ/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun ទី/noun ផ្សារ/noun ឌីជីថល/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun អ្នក/noun ស្រាវជ្រាវ/verb វិទ្យា/noun សាស្រ្ដ/noun ទិន្នន័យ/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun បង្រៀន/verb ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun មាន/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ចូល/verb ធ្វើ/verb ការ/noun ថ្មី/adj ផ្នែក/noun នែត/noun វើក/noun ឃីង/noun ដែរ/adv ឬ/conj អត់/prt ?/punct,AskWhetherJobAnnoucementExist
