question,intent
មានព័ត៌មានអត់ថាអ្នកធ្វើការនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាអ្នកធ្វើការនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាអ្នកធ្វើការនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាបុគ្គលិកនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាបុគ្គលិកនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាបុគ្គលិកនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាគេនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាគេនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានព័ត៌មានអត់ថាគេនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលអ្នកធ្វើការនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលអ្នកធ្វើការនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលអ្នកធ្វើការនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលបុគ្គលិកនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលបុគ្គលិកនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលបុគ្គលិកនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលគេនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលគេនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
សួរមួយមើលគេនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់អ្នកធ្វើការនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់អ្នកធ្វើការនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់អ្នកធ្វើការនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់បុគ្គលិកនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់បុគ្គលិកនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់បុគ្គលិកនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់គេនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់គេនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
មានដឹងអត់គេនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាអ្នកធ្វើការនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាអ្នកធ្វើការនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាអ្នកធ្វើការនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាបុគ្គលិកនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាបុគ្គលិកនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាបុគ្គលិកនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាគេនៅសាលាCADTនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាគេនៅទីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
ដឹងថាគេនៅសាលាស៊ីអេឌីធីនេះមកធ្វើការនៅថ្ងៃណា?,AskWorkingDate
