question,intent
មាន/verb ខេត្ត/noun កំពត/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពត/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun តាកែវ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun តាកែវ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun បាត់ដំបង/verb ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun បាត់/verb ដំបង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ស្ពឺ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ស្ពឺ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ធំ/adj ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
មាន/verb ខេត្ត/noun កំពង់/noun ធំ/adj មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពត/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពត/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun តាកែវ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun តាកែវ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun បាត់ដំបង/verb ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun បាត់/verb ដំបង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ស្ពឺ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ស្ពឺ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ធំ/adj ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj មាន/verb ខេត្ត/noun កំពង់/noun ធំ/adj មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពត/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពត/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun តាកែវ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun តាកែវ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun បាត់/verb ដំបង/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun បាត់/verb ដំបង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពង់/noun ចាម/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun ដែល/noun ឬ/conj អត់/prt ?/punct,IsProvinceExist
ពិត/adj ជា/verb មាន/verb ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun មែន/adv ដែល/noun ឬ/conj ទេ/prt ?/punct,IsProvinceExist
