question,intent
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun គួរ/verb ស្លៀក/verb ពាក់/verb បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun ត្រូវ/verb ពាក់/verb ខោ/noun អាវ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun រៀប/verb ចំ/verb សំលៀកបំពាក់/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun រៀប/verb ចំ/verb តុម/verb តែង/verb ខ្លួន/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun ផ្ញើ/verb អស់/verb ម៉ាន/noun រយ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp ក្មេង/noun ប្រុស/noun អោយ/verb ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun គួរ/verb ស្លៀក/verb ពាក់/verb បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun ត្រូវ/verb ពាក់/verb ខោ/noun អាវ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun រៀប/verb ចំ/verb សំលៀកបំពាក់/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun រៀប/verb ចំ/verb តុម/noun តែង/verb ខ្លួន/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun ផ្ញើ/verb អស់/verb ម៉ាន/noun រយ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp និស្សិត/noun ប្រុស/noun អោយ/verb ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun គួរ/verb ស្លៀក/verb ពាក់/verb បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun ត្រូវ/verb ពាក់/verb ខោ/noun អាវ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun រៀប/verb ចំ/verb សំលៀកបំពាក់/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun រៀប/verb ចំ/verb តុម/verb តែង/verb ខ្លួន/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun ផ្ញើ/verb អស់/verb ម៉ាន/noun រយ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun CADT/noun នឹង/adp សិស្ស/noun ប្រុស/noun អោយ/verb ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun ចំណាយ/verb អស់/adj ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun គួរ/verb ស្លៀក/verb ពាក់/verb បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun ត្រូវ/verb ពាក់/verb ខោ/noun អាវ/noun បែបណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun រៀប/verb ចំ/verb សំលៀកបំពាក់/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun រៀប/verb ចំ/verb តុម/verb តែង/verb ខ្លួន/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun ផ្ញើ/verb អស់/verb ម៉ាន/noun រយ/noun បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
អត់/prt ទោស/noun នៅ/adp សាលា/noun នេះ/det ក្មេង/noun ប្រុស/noun អោយ/verb ប៉ុន្មាន/adv បែប/noun ណា/noun ដែរ/adv ទើប/conj សមរម្យ/adj យ៉ាង/prt ណា/noun បាន/verb ល្អ/adj ទៅ/prt ?/punct,AskaboutMaleDressCode
