question,intent
បន្ទប់ Jupyter គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
សាល ប្រជុំ ធំ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់ ១០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់ ៣០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់ Jupyter ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
សាល ប្រជុំ ធំ ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
បន្ទប់ ១០១ ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
បន្ទប់ ៣០១ ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់ Jupyter គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក សាល ប្រជុំ ធំ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់ ១០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់ ៣០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់ Jupyter គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក សាល ប្រជុំ ធំ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់ ១០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់ ៣០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់ Jupyter គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក សាល ប្រជុំ ធំ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់ ១០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់ ៣០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក បន្ទប់ Jupyter គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក សាល ប្រជុំ ធំ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក បន្ទប់ ១០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក បន្ទប់ ៣០១ គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
តើ Robot ឯង ដឹង ទេ ថា បន្ទប់ Jupyter គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ Robot ឯង ដឹង ទេ ថា សាល ប្រជុំ ធំ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ Robot ឯង ដឹង ទេ ថា បន្ទប់ ១០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ Robot ឯង ដឹង ទេ ថា បន្ទប់ ៣០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ រ៉ូបូត ឯង ដឹង ទេ ថា បន្ទប់ Jupyter គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ រ៉ូបូត ឯង ដឹង ទេ ថា សាល ប្រជុំ ធំ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ រ៉ូបូត ឯង ដឹង ទេ ថា បន្ទប់ ១០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ រ៉ូបូត ឯង ដឹង ទេ ថា បន្ទប់ ៣០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ មនុស្ស យន្ត ឯង ដឹង ទេ ថា បន្ទប់ Jupyter គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ មនុស្ស យន្ត ឯង ដឹង ទេ ថា សាល ប្រជុំ ធំ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ មនុស្ស យន្ត ឯង ដឹង ទេ ថា បន្ទប់ ១០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
តើ មនុស្ស យន្ត ឯង ដឹង ទេ ថា បន្ទប់ ៣០១ គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
