question,intent
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់ ផ្ទាល់ ដី មាន បង្គន់ នោម ឬ ទេ ?,DoesToiletExist
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា អង់គ្លេស បាន ? , Ask Rob ot Function
តើ ពិត ជា មាន ប្រទេស រ៉ូម៉ានី ឬ ទេ ? , Is Country Exist
អ្នក ទទួល ខុស ត្រូវ ខាង តេឡេខម អ្នក ណា ជា ? , Ask About Top Management Personal
សុំ សួរ មួយ មនុស្ស យន្ត តើ នៅ ជាន់ លើ មាន បង្គន់ ឬ អត់ ?,DoesToiletExist
តើ មាន រៀន ម៉េច ខ្លះ នៅ ខាង IT ? , Curiculum In Each Major
តើ ពិត ជា មាន ប្រទេស សីស្ហែល ដែល ឬ ទេ ? , Is Country Exist
តើ មាន កម្ម វិធី សិក្សា ម៉េច ខ្លះ ខាង IT ? , Curiculum In Each Major
អ្នក ទទួល បន្ទុក នៅ Networking នរណា ជា ? , Ask About Top Management Personal
តើ បន្ទប់ របស់ លោក គ្រូផានិត នៅ អាគារ ណា ? , Ask About Staff Room
តើ លោក គ្រូ សិទ្ធ ធ្វើ ការ នៅ ជាន់ មួយ ណា ដែល ? , Ask About Staff Room
ប្រាប់ ខ្ញុំ CADT ស្រាវជ្រាវ លើ សម្រាប់ ពួក យើង ? ,AskAboutResearch
តើ មាន កម្ម វិធី សិក្សា អ្វី ខ្លះ ខាង អុីខមមើស ? , Curiculum In Each Major
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស អត់ កន្លែង នេះ ? , Ask About Trending News
តើ នៅ ជាន់ ទី ៥ មាន refill ទឹក ទេ ? , Ask About Water Refill
តើ ប្រទេស បេនីន មាន ឬ អត់ ? , Is Country Exist
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី បន្ទប់ ៣០៦ នៅ ទី កន្លែង ណា បាន ទេ ? , Find Room
តើ ទី តាំង បន្ទប់ របស់ បង ចាន់តូ នៅ ជាន់ ទី ប៉ុន្មាន ? , Ask About Staff Room
តើ ខ្ញុំ អាច សុំ លេខ ទំនាក់ទំនង របស់ បង សិរី បាន ដែល ទេ ? , Ask About Staff Phone Number
តើ យើង អាច រក បន្ទប់ របស់ លោក គ្រូ ផានិត តាម ណា បាន ? , Find Room
តើ មាន ប្រទេស ម៉ូរីតានី ដែល ឬ ទេ ? , Is Country Exist
ពេល ដែល រៀន ការ អភិវឌ្ឍន៍ គេហទំព័រ នឹង ហើយ និស្សិត អាច មាន សមត្ថ ភាព បែប ណា ខ្លះ ?,AskAboutClassSubject
ចូរ រៀប រាប់ ជីវ ប្រវត្តិ របស់ ឯក ឧត្តម សេងសុភាព ដែរ ឫ ទេ ? , Ask About Top Management Personal
តើ លេខ ទំនាក់ទំនង របស់ បង សិទ្ធ លេខ អ្វី ខ្លះ ? , Ask About Staff Phone Number
តើ ប្រទេស ម៉ុងសឺរ៉ាត់ មាន មែន ឬ ទេ ? , Is Country Exist
តើ នៅ ទី នេះ មាន វិទ្យា ស្ថាន បច្ចេកវិទ្យា កម្ពុជា មែន ឫ ទេ ? , Is Institution Exist
តើ វិទ្យា ស្ថាន ស្រាវជ្រាវ និងនវានុវត្តន៍ ឌីជីថល មាន ជំនាញ អ្វី ខ្លះ ? , Ask About Major
តើ មាន ស្តាត អាប់ Cam Mob នៅ នឹង នេះ ដែល ទេ ? , IsStart UpExist
សុំ សួរ មួយ Robot តើ នៅ ជាន់ នេះ មាន កន្លែង នោម ទេ ?,DoesToiletExist
តើ ពិត ជា មាន ប្រទេស ហ្គឺន ស៊ីមែន ឬ អត់ ? , Is Country Exist
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អ្វី នៅ ណិពទិច ? , Ask About Trending News
តើ មាន ប្រទេស នូវែល សេឡង់ ឬ អត់ ? , Is Country Exist
តើ អ្នក ត្រូវ បាន បង្កើត ដោយ បង ណារី ពិត ឬ ទេ ? , Ask About Creator
តើ ពិត ជា មាន ប្រទេស ហុងគ្រី ឬ ទេ ? , Is Country Exist
តើ ខ្ញុំ អាច រក បន្ទប់ ២០៥ តាម របៀប ណា ? , Find Room
តើ នៅ ទី ភ្នាក់ងារ ជាតិ មុខ របរ និង ការងារ មាន រីហ្វីល ទឹក ទេ ? , Ask About Water Refill
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អត់ នៅ ឯ នេះ ? , Ask About Trending News
សុីអេ ដីធី មាន Research អ្វី សម្រាប់ អ្នក ទស្សនៈ កិច្ច ? ,AskAboutResearch
តើ IDG ជា របស់ ឯក ជន មែន ឬ ទេ ? , Ask About Institution
តើ នៅ IDRI មាន កន្លែង ណា សំរាប់ លេង ទេ ? , Ask About Playground
អ្នក ទទួល បន្ទុក ខាង computerscience នរណា ជា ? , Ask About Top Management Personal
តើ មាន ប្រទេស ទី ម័រ មែន ឬ អត់ ? , Is Country Exist
សុំ សួរ មួយ Robot តើ នៅ ជាន់ លើ គេ មាន កន្លែង នោម ទេ ?,DoesToiletExist
ប្រាប់ នៅ CADT Research លើ សម្រាប់ បុគ្គលិក ? ,AskAboutResearch
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស អ្វី នៅ នេះ ? , Ask About Trending News
តើ យើង អាច រក បន្ទប់ ១០៣ ដោយ របៀប ណា ? , Find Room
តើ ពិត ជា មាន ប្រទេស បូត ស្វាណា ឬ អត់ ? , Is Country Exist
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ សុកហេង ពិត ប្រាកដ ទេ ? , Ask About Creator
តើ បន្ទប់ របស់ ផ្នែក ធនធាន មនុស្ស នៅ អាគារ ណា ? , Ask About Staff Room
អ្នក រ៉ាប់ រង ខាង កុំព្យូទ័រ សាយអេននរណា ជា ? , Ask About Top Management Personal
រ៉ូបូត ខ្ញុំ សូម សួរ រក ទី តាំង បន្ទប់ របស់ លោក គ្រូ បញ្ញា,FindEmployeeRoom
តើ ខ្ញុំ អាច រក បន្ទប់ របស់ លោក គ្រូសិរី តាម វីធីណា ? , Find Room
តើ ខ្ញុំ អាច រក បន្ទប់ ស្រាវជ្រាវ ដោយ វីធីណា បាន ? , Find Room
តើ ប្រទេស ស៊ូដង់ មាន ឬ ទេ ? , Is Country Exist
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ ណារី មែន ឫ ទេ ? , Ask About Creator
តើ ពិត ជា មាន ប្រទេស កោះ ម៉ាន់មែន ឬ ទេ ? , Is Country Exist
តើ មាន ព័ត៌មាន សម្រាប់ អ្នក មក មើល អត់ នៅ សុីអេ ដីធី ? , Ask About Trending News
មាន បង្គន់ ឬ អត់ នៅ ជាន់លើ ?,DoesToiletExist
