question,intent
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ ដេប៉ាទីម៉ង់ធនធានមនុស្ស ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ ដេប៉ាទីម៉ង់ធនធានមនុស្ស ទៅ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ HR ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ HR ទៅ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ បុក្គលិក ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ បុក្គលិក ទៅ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ ធនធានមនុស្ស ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ បន្ទប់ ធនធានមនុស្ស ទៅ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ Department HR ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ Department HR ទៅ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ នាយកដ្ឋានធនធានមនុស្ស ដែរ ?,AskWhereHRRoomIs
អ្នក មឹង អាច ប្រាប់ Dara ថា ទៅ អាគារណា បាន ដល់ នាយកដ្ឋានធនធានមនុស្ស ទៅ ?,AskWhereHRRoomIs
