question,intent
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun មែន/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun មែន/adv ឫ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ប្រាកដ/adj ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ប្រាកដ/adj ឬ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ឬ/conj អត់/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun ពិត/adj ប្រាកដ/adj ឬ/conj អត់/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt អ្នក/pron ពិត/adj ជា/verb ត្រូវ/verb បាន/verb បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀកមែន/noun ឬ/conj អត់/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
តើ/prt រ៉ូបូត/noun ឯង/pron បង្កើត/verb ដោយ/adp លោក/noun គ្រូលីហៀក/noun មែន/adv ទេ/prt ?/punct ,/punct Ask/noun About/noun Creator/noun
