question,intent
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ដែល ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ដែល ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ណា ដែល ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ណា ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ទី ប៉ុន្មាន ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ ណា ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ ណា ដែល ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom
តើ បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ណា ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ជាន់ ទី ប៉ុន្មាន ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ ណា ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូ លីហៀក/B-PER នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង ធ្វើ ការ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ?,AskAboutStaffRoom
តើ ទី តាំង ធ្វើ ការ របស់ លោក គ្រូ លីហៀក/B-PER មួយ ណា ដែល ?,AskAboutStaffRoom
តើ ទី តាំង ធ្វើ ការ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ?,AskAboutStaffRoom
តើ ទី តាំង ធ្វើ ការ របស់ លោក គ្រូ លីហៀក/B-PER នៅ ទី ណា ដែល ?,AskAboutStaffRoom
