question,intent
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ក្នុង/adp ជំនាញ/noun Information/noun Technology/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ខាង/noun Information/noun Technology/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ខាង/noun ជំនាញ/noun Information/noun Technology/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj ខាង/noun អុីហ្វមេសុិនតិចណូឡូជី/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ក្នុង/adp ជំនាញ/noun អុីហ្វមេសុិនតិ/noun ចណូឡូជី/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ខាង/noun អុីហ្វមេសុិនតិចណូឡូជី/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ខាង/noun ជំនាញ/noun អុីហ្វមេសុិនតិ/noun ចណូឡូជី/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj ខាង/noun ពត៌មាន/noun វិទ្យា/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ក្នុង/adp ជំនាញ/noun ពត៌មាន/noun វិទ្យា/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
តើ/prt មាន/verb កម្ម/noun វិធី/noun សិក្សា/verb ដូច/verb មេ្តច/noun ខ្លះ/adj នៅ/adp ខាង/noun ពត៌មាន/noun វិទ្យា/noun ?/punct ,/punct Curiculum/noun In/noun Each/noun Major/noun
