question,intent
តើស៊ីអេឌីធី/noun មានschoolbus/verb ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មានschoolbus/verb ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មានschoolbus/verb សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មានschoolbus/verb សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun CADT/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មានschoolbus/verb សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
តើ/prt សាលា/noun សុីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb schoolbus/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មានschoolbus/verb សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb schoolbus/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun ដឹក/verb សិស្ស/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រាប់/adp ដឹក/verb និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ដែរ/adv អត់/prt ?/punct,SchoolBusInfo
ខ្ញំុ/pron ចង់/verb សួរ/verb ថា/conj ស៊ីអេឌីធី/noun មាន/verb ឡាន/noun សាលា/noun សម្រួល/verb ការ/noun ធ្វើ/verb ដំណើរ/noun របស់/adp និស្សិត/noun ទេ/prt ?/punct,SchoolBusInfo
