Question,Intent
សូមធ្វើការវាយតម្លៃពីខ្ញុំ,AskAboutDissatisfaction
សូមធ្វើការវាតម្លៃពីកម្មវិធីកូដសុី,AskAboutDissatisfaction
តើអ្នកសប្បាយចិត្តនិងសេវាកម្មរបស់ខ្ញុំដែលឬទេ?,AskAboutDissatisfaction
តើអ្នកពេញចិត្តនិងសេវាកម្មរបស់ខ្ញុំដែលឬទេ?,AskAboutDissatisfaction
តើអ្នកពេញចិត្តខ្ញុំដែលឬទេ?,AskAboutDissatisfaction
តើអ្នកសប្បាយចិត្តនិងខ្ញុំឬទេ?,AskAboutDissatisfaction
តើអ្នកចូលចិត្តខ្ញុំដែលឬទេ?,AskAboutDissatisfaction
តើខ្ញុំមានការខ្វះខាតអ្វីដែលឬទេ?,AskAboutDissatisfaction
តើពួកយើងគួរតែបន្ថែមនូវសេវាកម្មអ្វីបន្ថែមទៀត?,AskAboutDissatisfaction
តើខ្ញុំបានធ្វើអ្វីអោយអ្នកមិនពេញចិត្តដែលឬទេ?,AskAboutDissatisfaction
ហេតុអ្វីបានជាអ្នកមិនពេញចិត្ត?,AskAboutDissatisfaction
ហេតុអ្វីបានជាអ្នកមិនចូលចិត្តខ្ញុំ?,AskAboutDissatisfaction
ហេតុអ្វីបានជាអ្នកមិនសប្បាយចិត្តនិងខ្ញុំ?,AskAboutDissatisfaction
តើអ្នកធ្លាប់ជួបបញ្ហាទាំងអស់នេះដែរឬទេ?,AskAboutDissatisfaction
តើ​បញ្ហា​នេះ​បង្ក​បញ្ហា​ដល់​អ្នក​យូរ​ប៉ុណ្ណា​ហើយ?,AskAboutDissatisfaction
តើ​អ្នក​អាច​ពណ៌នា​ថា​តើ​បញ្ហា​នេះ​កើលឡើយ​ដូច​ម្តេច?,AskAboutDissatisfaction
តើ​អ្នក​អាច​ផ្តល់​ព័ត៌មាន​លម្អិត​បន្តិច​ទៀត​អំពី​វា​បាន​ទេ?,AskAboutDissatisfaction
តើអ្នកត្រូវការដំណោះស្រាយជាបន្ទាន់ប៉ុណ្ណា?,AskAboutDissatisfaction
តើ​បញ្ហា​នេះ​បាន​ប៉ះពាល់​ដល់​អ្នក​យ៉ាង​ណា?,AskAboutDissatisfaction
តើ​បញ្ហា​នេះ​បាន​ប៉ះពាល់​ដល់​អាជីវកម្ម​របស់​អ្នក​យ៉ាង​ណា?,AskAboutDissatisfaction
តើ​អ្នក​បានធ្វើ​ពី​អ្វី​ដែល​អ្នក​បាន​ធ្វើ​នៅ​ពេល​ដែល​បញ្ហា​បាន​ចាប់​ផ្តើមឬទេ?,AskAboutDissatisfaction
តើអ្នកបានព្យាយាមដោះស្រាយបញ្ហាដោយខ្លួនឯងទេ?,AskAboutDissatisfaction
តើមានអ្វីកើតឡើងបន្ទាប់ពីអ្នកបានសាកល្បងវា?,AskAboutDissatisfaction
តើអ្នកអាចផ្តល់ឧទាហរណ៍ដល់ខ្ញុំបានទេ?,AskAboutDissatisfaction
តើអ្វីជាមូលហេតុចម្បងរបស់អ្នកសម្រាប់ការទាក់ទងមកខ្ញុំនៅថ្ងៃនេះ?,AskAboutDissatisfaction
តើ​បញ្ហានេះ​បាន​ប៉ះ​ពាល់​អ្នក​​យ៉ាង​ណា?,AskAboutDissatisfaction
តើ​បញ្ហា​នេះ​ធ្វើ​ឱ្យ​អ្នក​មាន​បញ្ហា​ផ្សេង​ទៀត​ឬទេ?,AskAboutDissatisfaction
តើ​អ្នក​ចង់​ឱ្យ​ខ្ញុំ​ពិភាក្សា​រឿង​នេះ​ជាមួយ​អ្នក​គ្រប់​គ្រង​របស់​ខ្ញុំ ហើយ​ទាក់ទងទៅ​អ្នក​វិញ​ឬទេ?,AskAboutDissatisfaction
តើ​មាន​អ្វី​ដែល​ខ្ញុំ​បាន​មិនទាន់ទទួលបានឬទេ?,AskAboutDissatisfaction
តើមានអ្វីផ្សេងទៀតដែលខ្ញុំអាចជួយអ្នកបាន?,AskAboutDissatisfaction
តើមានរឿងអ្វីកើតឡើយ?,AskAboutDissatisfaction
តើ​អ្នក​ចង់​អោយយើងធ្វើ​អ្វី​ដែល​​?,AskAboutDissatisfaction
ហេតុអ្វីបានជាមានរឿងនេះកើតឡើយ?,AskAboutDissatisfaction
តើអ្នកបានឃើញពីបញ្ហាឬទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីខ្ញុំខ្លាំងមែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីខ្ញុំខ្លាំងពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីតើអ្នកឆ្លាតជាងសិស្សថ្នាក់ទី៥មែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីតើអ្នកឆ្លាតជាងសិស្សថ្នាក់ទី៥ពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីពិភពតារាមែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីពិភពតារាពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីពានខ្មែរមែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីពានខ្មែរពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីសហគ្រិនខ្មែរមែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនសប្បាយចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីសហគ្រិនខ្មែរពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនពេញចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីខ្ញុំខ្លាំងមែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនពេញចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីខ្ញុំខ្លាំងពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនពេញចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីតើអ្នកឆ្លាតជាងសិស្សថ្នាក់ទី៥មែនទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនពេញចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីតើអ្នកឆ្លាតជាងសិស្សថ្នាក់ទី៥ពិតទេ?,AskAboutDissatisfaction
តើកែវមនីមានការមិនពេញចិត្តដោយសារតែមិនបានឈ្នះនៅក្នុងកម្មវិធីពិភពតារាមែនទេ?,AskAboutDissatisfaction
