question,intent
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ដែល/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មែន/adv ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt អាច/verb មាន/verb ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មាន/verb ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មាន/verb ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ប្រទេស/noun អាហ្វហ្គានីស្ថាន/noun មាន/verb មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun ដែល/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun ដែល/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun មែន/adv ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb ប្រទេស/noun អាល់បានី/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាល់បានី/noun ដែល/noun ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាល់បានី/noun ដែល/noun ឬ/conj អត់/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
តើ/prt មាន/verb ប្រទេស/noun អាល់បានី/noun មែន/adv ឬ/conj ទេ/prt ?/punct ,/punct Is/noun Country/noun Exist/noun
