question,intent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD IDT/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD IDT/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា/B-ORG CADT/I-ORG មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event សាលា/B-ORG CADT/I-ORG យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ សាលា/B-ORG សុីអេឌីធី/I-ORG មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ សាលា/B-ORG សុីអេឌីធី/I-ORG យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ សាលា មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ សាលា យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD អុីនូវេសិន/I-BUILD សែនធឺរ/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD អុីនូវេសិន/I-BUILD សែនធឺរ/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ/B-BUILD អុីនូវេសិន/I-BUILD សែនធឺរ/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ/B-BUILD អុីនូវេសិន/I-BUILD សែនធឺរ/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD អាយឌីធី/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ Event នៅ អាគារ/B-BUILD អាយឌីធី/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ/B-BUILD អាយឌីធី/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ទៅ លើ ព្រឹត្តិ ការណ៍ នៅ អាគារ/B-BUILD អាយឌីធី/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ថា Event នៅ អាគារ/B-BUILD IDT/I-BUILD មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ថា Event នៅ អាគារ/B-BUILD IDT/I-BUILD យើង មាន អ្វី ខ្លះ អត់ ?,ListEvent
កង/B-PER សាវ៉ន/I-PER ដែល បាន ដឹង អត់ ថា Event សាលា មាន ប៉ុន្មាន ខ្លះ ?,ListEvent
