question,intent
គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ការ/noun អភិវឌ្ឍន៍/verb កម្ម/noun វិធី/noun ?/punct,FindLecturerForSubject
គ្រូ/noun ណា/noun ជា/verb អ្នក/pron បង្រៀន/verb ស្ថាបត្យ/noun កម្ម/noun កុំព្យូទ័រ/noun ?/punct,FindLecturerForSubject
គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ទូរគមនាគមន៍/noun និង/conj បណ្តាញ/noun ?/punct,FindLecturerForSubject
គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ការ/noun អភិវឌ្ឍន៍/verb គេហទំព័រ/noun ?/punct,FindLecturerForSubject
គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb សហគ្រិន/noun ភាព/noun ?/punct,FindLecturerForSubject
គ្រូ/noun ណា/noun ជា/verb អ្នក/pron បង្រៀន/verb ការ/noun គ្រប់/adj គ្រង/verb គម្រោង/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ការ/noun អភិវឌ្ឍន៍/verb កម្ម/noun វិធី/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/pron បង្រៀន/verb ស្ថាបត្យ/noun កម្ម/noun កុំព្យូទ័រ/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ទូរគមនាគមន៍/noun និង/conj បណ្តាញ/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ការ/noun អភិវឌ្ឍន៍/verb គេហទំព័រ/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/noun បង្រៀន/verb សហគ្រិន/noun ភាព/noun ?/punct,FindLecturerForSubject
អ្នក/noun គ្រូ/noun ណា/noun ជា/verb អ្នក/pron បង្រៀន/verb ការ/noun គ្រប់/adj គ្រង/verb គម្រោង/noun ?/punct,FindLecturerForSubject
លោក/noun គ្រូណា/noun ជា/verb អ្នក/noun បង្រៀន/verb ការ/noun អភិវឌ្ឍន៍/verb កម្ម/noun វិធី/noun ?/punct,FindLecturerForSubject
