question,intent
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun អាហារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun សម្រាប់/adp ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb អាហារដ្ឋាន/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun អង្គុយ/verb ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun លក់/verb បាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun លកបាយ/verb ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun អាហារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun សម្រាប់/adp ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb អាហារដ្ឋាន/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun អង្គុយ/verb ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun លក់/verb បាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb កន្លែង/noun លកបាយ/verb ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun អាហារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun សម្រាប់/adp ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb អាហារដ្ឋាន/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun អង្គុយ/verb ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun លក់/verb បាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun លកបាយ/verb ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun អាហារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun សម្រាប់/adp ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb អាហារដ្ឋាន/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun អង្គុយ/verb ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun លក់/verb បាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb កន្លែង/noun លកបាយ/verb ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp CADT/noun មាន/verb កន្លែង/noun អាហារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp CADT/noun មាន/verb កន្លែង/noun សម្រាប់/adp ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp CADT/noun មាន/verb អាហារដ្ឋាន/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
តើ/prt នៅ/adp CADT/noun មាន/verb កន្លែង/noun អង្គុយ/verb ហូបបាយ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Canteen/noun
