question,intent
តើភ្នំពេញមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើភ្នំពេញមានស្រុកម៉ាន?,AskAboutDistrictInProvince
តើភ្នំពេញមានខណ្ឌប៉ុន្មាន?,AskAboutDistrictInProvince
តើភ្នំពេញមានខណ្ឌប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើភ្នំពេញមានខណ្ឌម៉ាន?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានស្រុកប៉ុន្មាន?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានស្រុកម៉ាន?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានខណ្ឌប៉ុន្មាន?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានខណ្ឌប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើត្បូងឃ្មុំមានខណ្ឌម៉ាន?,AskAboutDistrictInProvince
តើប៉ៃលិនមានស្រុកប៉ុន្មាន?,AskAboutDistrictInProvince
តើប៉ៃលិនមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើប៉ៃលិនមានស្រុកម៉ាន?,AskAboutDistrictInProvince
តើប៉ៃលិនមានខណ្ឌប៉ុន្មាន?,AskAboutDistrictInProvince
តើប៉ៃលិនមានខណ្ឌប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើប៉ៃលិនមានខណ្ឌម៉ាន?,AskAboutDistrictInProvince
តើកែបមានស្រុកប៉ុន្មាន?,AskAboutDistrictInProvince
តើកែបមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើកែបមានស្រុកម៉ាន?,AskAboutDistrictInProvince
តើកែបមានខណ្ឌប៉ុន្មាន?,AskAboutDistrictInProvince
តើកែបមានខណ្ឌប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើកែបមានខណ្ឌម៉ាន?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានស្រុកប៉ុន្មាន?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានស្រុកម៉ាន?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានខណ្ឌប៉ុន្មាន?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានខណ្ឌប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
តើឧត្តរមានជ័យមានខណ្ឌម៉ាន?,AskAboutDistrictInProvince
តើតាកែវមានស្រុកប៉ុន្មាន?,AskAboutDistrictInProvince
តើតាកែវមានស្រុកប៉ុន្មានអ្វីខ្លះ?,AskAboutDistrictInProvince
