question,intent
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp Department/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp Department/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទី/noun ម៉ង់HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun បុក្គលិក/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun បុក្គលិក/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb បន្ទប់/noun ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb Department/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb Department/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb នាយកដ្ឋានធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb នាយកដ្ឋានធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb ដេប៉ាទីម៉ង់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj កន្លែង/noun ណា/noun ជា/verb ដេប៉ាទីម៉ង់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp Department/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp Department/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp ដេប៉ាទីម៉ង់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ផ្លូវ/noun ណា/noun បាន/verb ទៅ/verb ដល់/adp ដេប៉ាទីម៉ង់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun បុក្គលិក/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp បន្ទប់/noun ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp Department/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp Department/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp នាយកដ្ឋានធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់/noun HR/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb Dara/noun ថា/conj ទៅ/adp ជាន់/noun ណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់/noun HR/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb បង/verb Chanto/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ដែរ/adv ?/punct,AskWhereHRRoomIs
អ្នក/pron មឹង/verb អាច/verb ប្រាប់/verb បង/verb Chanto/noun ថា/conj ទៅ/adp អាគារណា/noun បាន/verb ដល់/adp ដេប៉ាទីម៉ង់ធនធានមនុស្ស/noun ទៅ/prt ?/punct,AskWhereHRRoomIs
