question/noun ,/punct intent/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp CADT/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp CADT/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp CADT/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron អាច/verb ជួយ/verb ប្រាប់/verb ខ្ញុំ/pron ថា/conj នៅ/adp CADT/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp អាយឌីធី/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp អាយឌីធី/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt នៅ/adp អាយឌីធី/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp អាយឌីធី/noun មាន/verb ឱកាស/noun ការងារ/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp អាយឌីធី/noun មាន/verb ការងារ/noun ដែល/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
តើ/prt អ្នក/pron ដឹក/verb ទេ/prt ថា/conj នៅ/adp អាយឌីធី/noun មាន/verb ការងារ/noun ដែល/noun គេ/pron កំពុង/verb ជ្រើស/verb រើស/verb បុគ្គលិក/noun ទេ/prt ?/punct ,/punct Ask/noun About/noun Job/noun Opportunities/noun
