question,intent
មាន/verb បន្ទប់/noun ទឹក/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb បន្ទប់/noun ទឹក/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb បន្ទប់/noun ទឹក/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb បន្ទប់/noun ទឹក/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun បត់/verb ជើង/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun បត់/verb ជើង/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun បត់/verb ជើង/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun បត់/verb ជើង/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun អណាម័យ/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun អណាម័យ/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun អណាម័យ/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun អណាម័យ/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun នោម/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun នោម/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun នោម/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb បង្គន់/noun នោម/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បត់/verb ជើង/noun ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បត់/verb ជើង/noun ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បត់/verb ជើង/noun ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បត់/verb ជើង/noun អត់/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បន្ទោរ/noun បង់/verb ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បន្ទោរ/noun បង់/verb ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បន្ទោរ/noun បង់/verb ឬ/conj អត់/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun បន្ទោរ/noun បង់/verb អត់/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun ជុះ/verb ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun ជុះ/verb ឬ/conj ទេ/prt ?/punct,DoesToiletExist
មាន/verb កន្លែង/noun ជុះ/verb ឬ/conj អត់/prt ?/punct,DoesToiletExist
