question,intent
មាន ខេត្ត/B-GPE កំពត/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពត/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE តាកែវ/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE តាកែវ/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE បន្ទាយ/I-GPE មាន/I-GPE ជ័យ/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE បន្ទាយ/I-GPE មាន/I-GPE ជ័យ/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE បាត់ដំបង/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត បាត់ ដំបង មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ចាម/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ចាម/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ឆ្នាំង/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ឆ្នាំង/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ស្ពឺ/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ស្ពឺ/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ធំ/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
មាន ខេត្ត/B-GPE កំពង់/I-GPE ធំ/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
ខ្ញុំ ចង់ ដឹង ថា មាន ខេត្ត/B-GPE កំពត/I-GPE ដែល ឬ អត់ ?,IsProvinceExist
ខ្ញុំ ចង់ ដឹង ថា មាន ខេត្ត/B-GPE កំពត/I-GPE មែន ដែល ឬ ទេ ?,IsProvinceExist
