question,intent
តើនៅជាន់ទី១មានធុងទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី១មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី១មានកន្លែងរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី១មានកន្លែងrefillទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី១មានរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី១មានrefillទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានធុងទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានកន្លែងរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានកន្លែងrefillទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី១មានrefillទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានធុងទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានកន្លែងរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានកន្លែងrefillទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី២មានrefillទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានធុងទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានកន្លែងរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានកន្លែងrefillទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី២មានrefillទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានធុងទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានកន្លែងរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានកន្លែងrefillទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានរីហ្វីលទឹកទេ?,AskAboutWaterRefill
តើនៅជាន់ទី៣មានrefillទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី៣មានធុងទឹកទេ?,AskAboutWaterRefill
តើអាចជួយប្រាប់ខ្ញុំបន្តិចបានទេថានៅជាន់ទី៣មានកន្លែងចាក់ទឹកទេ?,AskAboutWaterRefill
