question,intent
បន្ទប់/B-ROOM Jupyter/I-ROOM គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់/B-ROOM ១០១/I-ROOM គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់/B-ROOM ៣០១/I-ROOM គេ សម្រាប់ ធ្វើ អ្វី ?,FindRoomPurpose
បន្ទប់/B-ROOM Jupyter/I-ROOM ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
បន្ទប់/B-ROOM ១០១/I-ROOM ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
បន្ទប់/B-ROOM ៣០១/I-ROOM ជា បន្ទប់ គេ ប្រើ ក្នុង គោល បំណង អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM Jupyter/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ១០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ៣០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM Jupyter/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ១០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
ជួយ ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ៣០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM Jupyter/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ១០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
សូម ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ៣០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM Jupyter/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក សាល/B-ROOM ប្រជុំ/I-ROOM ធំ/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
មេត្តា ប្រាប់ ខ្ញុំ មក បន្ទប់/B-ROOM ១០១/I-ROOM គេ ប្រើ ធ្វើ អ្វី ?,FindRoomPurpose
