question,intent
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនេះមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនេះមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនេះមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនេះមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនិងមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនិងមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនិងមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំសាកលវិទ្យាល័យសុីអេដីឌីនិងមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនេះមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនេះមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនេះមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនេះមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនិងមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនិងមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនិងមានចំណតឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យCADTនិងមានចំណតឡានក្រុងដែលឬទេ,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យសុីអេដីឌីមានស្ថានីយឡានក្រុងឬក៏អត់,FindbusStationNearCADT
សូមសួរបន្តិចមើលថានៅម្ដុំវិទ្យាល័យសុីអេដីឌីមានស្ថានីយឡានក្រុងដែលឬទេ,FindbusStationNearCADT
