question,intent
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM ក្រោយ/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ Telecoms/I-MAJ &/I-MAJ Networking/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM នេះ/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM ក្រោយ/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ TN/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM នេះ/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ តេអិន/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM ក្រោយ/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ តេអិន/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutTN_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJ តេអិន/I-MAJ រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutTN_CourseInEachGen
