question,intent
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាលារៀន/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាលារៀន/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាលារៀន/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាលារៀន/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb អាហាររដ្ឋាន/noun នៅ/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាលារៀន/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាលារៀន/noun សុីអេដីឌី/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ដែល/noun ឬ/conj ទេ/prt,IsCanteenExist
នៅ/verb មាន/verb កន្លែង/noun ញុំ/verb អាហារ/noun នៅ/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ឬ/conj ក៏/conj អត់/prt,IsCanteenExist
