question,intent, intent
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR មាន បង្គន់ នោម ឬ ទេ ?,DoesToiletExist,
ហេតុ អ្វី បាន ជា អ្នក មិន អាច និយាយ ភាសា អង់គ្លេស/B-GPE បាន ?,AskRobotFunction,
តើ ពិត ជា មាន ប្រទេស រ៉ូម៉ានី/B-GPE ឬ ទេ ?,IsCountryExist,
អ្នក ទទួល ខុស ត្រូវ ខាង តេឡេខម អ្នក ណា ជា ?,AskAboutTopManagementPersonal,
សុំ សួរ មួយ មនុស្ស យន្ត តើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR មាន បង្គន់ ឬ អត់ ?,DoesToiletExist,
តើ មាន រៀន ម៉េច ខ្លះ នៅ ខាង IT/B-MAJOR ?,CuriculumInEachMajor,
តើ ពិត ជា មាន ប្រទេស សីស្ហែល/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ មាន កម្ម វិធី សិក្សា ម៉េច ខ្លះ ខាង IT/B-MAJOR ?,CuriculumInEachMajor,
អ្នក ទទួល បន្ទុក នៅ Networking នរណា ជា ?,AskAboutTopManagementPersonal,
តើ បន្ទប់ របស់ លោក គ្រូផានិត/B-PER នៅ អាគារ ណា ?,AskAboutStaffRoom,
តើ លោក គ្រូសិទ្ធ/B-PER ធ្វើ ការ នៅ ជាន់ មួយ ណា ដែល ?,AskAboutStaffRoom,
ប្រាប់ ខ្ញុំ CADT/B-ORG ស្រាវជ្រាវ លើ សម្រាប់ ពួក យើង ? ,AskAboutResearch,
តើ មាន កម្ម វិធី សិក្សា អ្វី ខ្លះ ខាង អុីខមមើស ?,CuriculumInEachMajor,
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស អត់ កន្លែង នេះ ?,AskAboutTrendingNews,
តើ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ៥/I-FLOOR មាន refill ទឹក ទេ ?,AskAboutWaterRefill,
តើ ប្រទេស បេនីន/B-GPE មាន ឬ អត់ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី បន្ទប់/B-ROOM ៣០៦/I-ROOM នៅ ទី កន្លែង ណា បាន ទេ ?,FindRoom,
តើ ទី តាំង បន្ទប់ របស់ បង ចាន់តូ/B-PER នៅ ជាន់ ទី ប៉ុន្មាន ?,AskAboutStaffRoom,
តើ ខ្ញុំ អាច សុំ លេខ ទំនាក់ទំនង របស់ បង សិរី/B-PER បាន ដែល ទេ ?,AskAboutStaffPhoneNumber,
តើ យើង អាច រក បន្ទប់ របស់ លោក គ្រូ ផានិត/B-PER តាម ណា បាន ?,FindRoom,
តើ មាន ប្រទេស ម៉ូរីតានី/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
ពេល ដែល រៀន ការ អភិវឌ្ឍន៍ គេហទំព័រ នឹង ហើយ និស្សិត អាច មាន សមត្ថ ភាព បែប ណា ខ្លះ ?,AskAboutClassSubject,
ចូរ រៀប រាប់ ជីវ ប្រវត្តិ របស់ ឯក/B-PER ឧត្តម/I-PER សេងសុភាព/I-PER ដែរ ឫ ទេ ?,AskAboutTopManagementPersonal,
តើ លេខ ទំនាក់ទំនង របស់ បង សិទ្ធ/B-PER លេខ អ្វី ខ្លះ ?,AskAboutStaffPhoneNumber,
តើ ប្រទេស ម៉ុងសឺរ៉ាត់ មាន មែន ឬ ទេ ?,IsCountryExist,
តើ នៅ ទី នេះ មាន វិទ្យា/B-ORG ស្ថាន/I-ORG បច្ចេកវិទ្យា/I-ORG កម្ពុជា មែន ឫ ទេ ? , Is Institution Exist,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ស្រាវជ្រាវ/I-ORG និងនវានុវត្តន៍/I-ORG ឌីជីថល/I-ORG មាន ជំនាញ អ្វី ខ្លះ ? , Ask About Major,
តើ មាន ស្តាត អាប់ Cam/B-ORG Mob/I-ORG នៅ នឹង នេះ ដែល ទេ ?,, IsStart UpExist
សុំ សួរ មួយ Robotតើ នៅ ជាន់ នេះ មាន កន្លែង នោម ទេ ?,DoesToiletExist,
តើ ពិត ជា មាន ប្រទេស ហ្គឺន/B-GPE ស៊ី/I-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អ្វី នៅ ណិពទិច/B-ORG ?,AskAboutTrendingNews,
តើ មាន ប្រទេស នូវែល/B-GPE សេឡង់/I-GPE ឬ អត់ ?,IsCountryExist,
តើ អ្នក ត្រូវ បាន បង្កើត ដោយ បង ណារី/B-PER ពិត ឬ ទេ ? , Ask About Creator,
តើ ពិត ជា មាន ប្រទេស ហុងគ្រី/B-GPE ឬ ទេ ?,IsCountryExist,
តើ ខ្ញុំ អាច រក បន្ទប់/B-ROOM ២០៥/I-ROOM តាម របៀប ណា ?,FindRoom,
តើ នៅ ទី/B-ORG ភ្នាក់ងារ/I-ORG ជាតិ/I-ORG មុខ/I-ORG របរ/I-ORG និង/I-ORG ការងារ/I-ORG មាន រីហ្វីល ទឹក ទេ ?,AskAboutWaterRefill,
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អត់ នៅ ឯ នេះ ?,AskAboutTrendingNews,
សុីអេ ដីធី មាន Research អ្វី សម្រាប់ អ្នក ទស្សនៈ កិច្ច ? ,AskAboutResearch,
តើ IDG/B-ORG ជា របស់ ឯក ជន មែន ឬ ទេ ? , Ask About Institution,
តើ នៅ IDRI/B-ORG មាន កន្លែង ណា សំរាប់ លេង ទេ ? , Ask About Playground,
អ្នក ទទួល បន្ទុក ខាង computerscience នរណា ជា ?,AskAboutTopManagementPersonal,
តើ មាន ប្រទេស ទី ម័រ មែន ឬ អត់ ?,IsCountryExist,
សុំ សួរ មួយ Robotតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR មាន កន្លែង នោម ទេ ?,DoesToiletExist,
ប្រាប់ នៅ CADT/B-ORG Research លើ សម្រាប់ បុគ្គលិក ? ,AskAboutResearch,
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស អ្វី នៅ នេះ ?,AskAboutTrendingNews,
តើ យើង អាច រក បន្ទប់/B-ROOM ១០៣/I-ROOM ដោយ របៀប ណា ?,FindRoom,
តើ ពិត ជា មាន ប្រទេស បូត ស្វាណា ឬ អត់ ?,IsCountryExist,
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ សុកហេង/B-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
តើ បន្ទប់ របស់ ផ្នែក ធនធាន មនុស្ស នៅ អាគារ ណា ?,AskAboutStaffRoom,
អ្នក រ៉ាប់ រង ខាង កុំព្យូទ័រ សាយអេននរណា ជា ?,AskAboutTopManagementPersonal,
រ៉ូបូត ខ្ញុំ សូម សួរ រក ទី តាំង បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER,FindEmployeeRoom,
តើ ខ្ញុំ អាច រក បន្ទប់ របស់ លោក គ្រូសិរី/B-PER តាម វីធីណា ?,FindRoom,
តើ ខ្ញុំ អាច រក បន្ទប់/B-ROOM ស្រាវជ្រាវ/I-ROOM ដោយ វីធីណា បាន ?,FindRoom,
តើ ប្រទេស ស៊ូដង់/B-GPE មាន ឬ ទេ ?,IsCountryExist,
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ ណារី/B-PER មែន ឫ ទេ ? , Ask About Creator,
តើ ពិត ជា មាន ប្រទេស កោះ/B-GPE ម៉ាន់/I-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន ព័ត៌មាន សម្រាប់ អ្នក មក មើល អត់ នៅ សុីអេ/B-ORG ដីធី/I-ORG ?,AskAboutTrendingNews,
មាន បង្គន់ ឬ អត់ នៅ ជាន់លើ/B-FLOOR ?,DoesToiletExist,
អ្នក ទទួល បន្ទុក ខាង វិទ្យា សាស្រ្ត កុំព្យូទ័រ នរណា ជា ?,AskAboutTopManagementPersonal,
តើ មាន ប្រទេស សេណេហ្គាល់/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
តើ ពិត ជា មាន ប្រទេស ប៊ឺមូដា/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ អាច ប្រាប់ ខ្ញុំ ពី លេខ ទូរសព្ទ របស់ បុគ្គលិក ផ្នែក រីគ្រូទ័រ បន្តិច បាន ដែល ទេ ?,AskAboutStaffPhoneNumber,
តើ ប្រទេស អ៊ុយរូហ្គាយ/B-GPE មាន ទំហំ ដី ប៉ុន្មាន ?,AskAboutCountries,
តើ មាន កម្ម វិធី រៀន ម៉េច ខ្លះ នៅ ខាងe-commerce ពាណិជ្ជ កម្ម អេឡិចត្រូនិច ?,CuriculumInEachMajor,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម ម៉ានុត/B-PER ពិត ប្រាកដ ឬ ទេ ? , Ask About Creator,
