question,intent
តើ/prt Computer/noun Science/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindCSInfo
តើ/prt Computer/noun Science/noun ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindCSInfo
តើ/prt Computer/noun Science/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindCSInfo
តើ/prt Computer/noun Science/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindCSInfo
តើ/prt Computer/noun Science/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindCSInfo
តើ/prt Computer/noun Science/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/adj ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/adj ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/adj គឺ/verb ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/adj សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/adj គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindCSInfo
តើ/prt Computer/noun Science/noun ហ្នឹង/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun គឺ/verb ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun សំដៅ/verb ទៅ/verb លើ/adp អ្វី/noun ?/punct,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun រៀន/verb ប៉ុន្មាន/adv ឆ្នាំ/noun,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun រៀន/verb ប៉ុន្មាន/adv ឆមាស/noun,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun រៀន/verb ប៉ុន្មាន/adv ត្រី/noun មាស/noun,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun គេ/pron រៀន/verb ពី/adp អ្វី/noun,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun រៀន/verb ពី/adp អ្វី/noun ទៅ/adp,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun ហ្នឹង/noun សិក្សា/verb អ្វី/noun ខ្លះ/adj,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun ហ្នឹង/noun ជា/verb អ្វី/noun ?/punct,FindCSInfo
តើ/prt វិទ្យាសាស្ត្រ/noun កុំព្យូទ័រ/noun ហ្នឹង/noun ជា/verb អ្វី/noun ទៅ/prt ?/punct,FindCSInfo
