question,intent
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ក្នុង/adp អាគារ/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ក្នុង/adp អាគារនវា/noun នុវត្តន៍/noun ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ក្នុង/adp នេះ/pron ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ក្នុង/adp កន្លែង/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ក្នុង/adp ទី/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ក្នុង/adp អាគារ/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ក្នុង/adp អាគារនវា/noun នុវត្តន៍/noun ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ក្នុង/adp នេះ/pron ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ក្នុង/adp កន្លែង/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ក្នុង/adp ទី/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ខាង/noun ក្នុង/adp អាគារ/noun នេះ/det ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/adp ខាង/noun ក្នុង/adp អាគារនវា/noun នុវត្តន៍/noun ?/punct ,/punct Ask/noun For/noun Start/noun Up/noun In/noun The/noun Innovation/noun Center/noun
