question,intent
អគារនៅInovation Centerបង្កើតឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារខេតមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯCADTមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅCADTមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯសុីអេដីធីមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅសុីអេដីធីមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯNIPTICTមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅណិពទិចមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារវិទ្យាស្ថានបច្ចេកវិទ្យាឌីជីថលមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារបណ្ឌិត្យសភាបច្ចេកវិទ្យាឌីជីថលកម្ពុជាមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារCADTមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារខេតមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯCADTមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅCADTមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯសុីអេដីធីមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅសុីអេដីធីមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅឯNIPTICTមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅណិពទិចមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារវិទ្យាស្ថានបច្ចេកវិទ្យាឌីជីថលមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារបណ្ឌិត្យសភាបច្ចេកវិទ្យាឌីជីថលកម្ពុជាមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារCADTមានម៉ាន?,AskBuildingInformationInCADT
អគារខេតមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅឯCADTមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅCADTមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅឯសុីអេដីធីមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅសុីអេដីធីមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅឯNIPTICTមានម៉ាន?,AskBuildingInformationInCADT
អគារនៅណិពទិចមានម៉ាន?,AskBuildingInformationInCADT
អគារវិទ្យាស្ថានបច្ចេកវិទ្យាឌីជីថលមានម៉ាន?,AskBuildingInformationInCADT
អគារបណ្ឌិត្យសភាបច្ចេកវិទ្យាឌីជីថលកម្ពុជាមានម៉ាន?,AskBuildingInformationInCADT
អគារCADTមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
